allocation_id,quotation_id,quotation_line_id,variant_id,warehouse_id,allocated_quantity,fulfillment_status,allocated_at
WALLOC-00055,QT-MUM-0019,QL-00070,VAR-0084,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00056,QT-MUM-0019,QL-00071,VAR-0288,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00057,QT-MUM-0019,QL-00072,VAR-0144,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00058,QT-MUM-0019,QL-00073,VAR-0552,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00059,QT-MUM-0020,QL-00074,VAR-0032,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00060,QT-MUM-0020,QL-00075,VAR-0596,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00061,QT-MUM-0020,QL-00076,VAR-0593,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00062,QT-MUM-0020,QL-00077,VAR-0415,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00063,QT-MUM-0020,QL-00078,VAR-0605,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00064,QT-MUM-0021,QL-00080,VAR-0229,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00065,QT-MUM-0021,QL-00081,VAR-0604,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00066,QT-MUM-0021,QL-00082,VAR-0298,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00067,QT-MUM-0021,QL-00083,VAR-0138,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00068,QT-MUM-0022,QL-00085,VAR-0170,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00069,QT-MUM-0022,QL-00086,VAR-0527,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00070,QT-MUM-0022,QL-00087,VAR-0144,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00071,QT-MUM-0022,QL-00088,VAR-0457,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00072,QT-MUM-0022,QL-00089,VAR-0164,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00073,QT-MUM-0023,QL-00090,VAR-0225,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00074,QT-MUM-0023,QL-00091,VAR-0500,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00075,QT-MUM-0023,QL-00092,VAR-0238,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00076,QT-MUM-0024,QL-00093,VAR-0531,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00077,QT-MUM-0024,QL-00094,VAR-0370,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00078,QT-MUM-0024,QL-00095,VAR-0398,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00079,QT-MUM-0025,QL-00098,VAR-0281,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00080,QT-MUM-0025,QL-00099,VAR-0270,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00081,QT-MUM-0025,QL-00100,VAR-0593,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00082,QT-MUM-0025,QL-00101,VAR-0558,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00083,QT-MUM-0025,QL-00102,VAR-0584,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00084,QT-MUM-0026,QL-00103,VAR-0229,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00085,QT-MUM-0026,QL-00104,VAR-0529,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00086,QT-MUM-0026,QL-00105,VAR-0416,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00087,QT-MUM-0026,QL-00106,VAR-0362,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00088,QT-MUM-0027,QL-00107,VAR-0170,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00089,QT-MUM-0027,QL-00108,VAR-0236,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00090,QT-MUM-0027,QL-00109,VAR-0079,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00091,QT-MUM-0027,QL-00110,VAR-0527,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00092,QT-MUM-0028,QL-00112,VAR-0425,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00093,QT-MUM-0028,QL-00113,VAR-0339,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00094,QT-MUM-0028,QL-00114,VAR-0117,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00095,QT-MUM-0029,QL-00116,VAR-0421,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00096,QT-MUM-0029,QL-00117,VAR-0023,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00097,QT-MUM-0029,QL-00118,VAR-0250,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00098,QT-MUM-0029,QL-00119,VAR-0045,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00099,QT-MUM-0029,QL-00120,VAR-0131,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00100,QT-MUM-0030,QL-00121,VAR-0265,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00101,QT-MUM-0030,QL-00122,VAR-0185,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00102,QT-MUM-0030,QL-00123,VAR-0530,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00103,QT-MUM-0031,QL-00125,VAR-0460,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00104,QT-MUM-0031,QL-00126,VAR-0622,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00105,QT-MUM-0031,QL-00127,VAR-0483,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00106,QT-MUM-0032,QL-00128,VAR-0147,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00107,QT-MUM-0032,QL-00129,VAR-0597,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00108,QT-MUM-0032,QL-00130,VAR-0187,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00109,QT-MUM-0032,QL-00131,VAR-0639,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00110,QT-MUM-0032,QL-00132,VAR-0524,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00111,QT-MUM-0033,QL-00134,VAR-0136,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00112,QT-MUM-0033,QL-00135,VAR-0112,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00113,QT-MUM-0033,QL-00136,VAR-0017,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00114,QT-MUM-0033,QL-00137,VAR-0208,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00115,QT-MUM-0034,QL-00139,VAR-0615,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00116,QT-MUM-0034,QL-00140,VAR-0040,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00117,QT-MUM-0034,QL-00141,VAR-0545,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00118,QT-MUM-0034,QL-00142,VAR-0516,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00119,QT-MUM-0034,QL-00143,VAR-0121,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00120,QT-MUM-0035,QL-00144,VAR-0442,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00121,QT-MUM-0035,QL-00145,VAR-0535,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00122,QT-MUM-0035,QL-00146,VAR-0431,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00123,QT-MUM-0035,QL-00147,VAR-0380,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00124,QT-MUM-0035,QL-00148,VAR-0045,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00125,QT-MUM-0036,QL-00149,VAR-0590,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00126,QT-MUM-0036,QL-00150,VAR-0101,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00127,QT-MUM-0036,QL-00151,VAR-0436,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00128,QT-MUM-0036,QL-00152,VAR-0138,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00129,QT-MUM-0036,QL-00153,VAR-0261,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00130,QT-MUM-0037,QL-00156,VAR-0536,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00131,QT-MUM-0037,QL-00157,VAR-0121,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00132,QT-MUM-0037,QL-00158,VAR-0533,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00133,QT-MUM-0037,QL-00159,VAR-0008,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00134,QT-MUM-0037,QL-00160,VAR-0385,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00135,QT-MUM-0038,QL-00161,VAR-0260,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00136,QT-MUM-0038,QL-00162,VAR-0268,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00137,QT-MUM-0038,QL-00163,VAR-0549,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00138,QT-MUM-0038,QL-00164,VAR-0434,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00139,QT-MUM-0038,QL-00165,VAR-0579,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00140,QT-MUM-0039,QL-00166,VAR-0184,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00141,QT-MUM-0039,QL-00167,VAR-0380,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00142,QT-MUM-0039,QL-00168,VAR-0573,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00143,QT-MUM-0039,QL-00169,VAR-0569,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00144,QT-MUM-0040,QL-00171,VAR-0236,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00145,QT-MUM-0040,QL-00172,VAR-0458,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00146,QT-MUM-0040,QL-00173,VAR-0166,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00147,QT-MUM-0041,QL-00175,VAR-0054,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00148,QT-MUM-0041,QL-00176,VAR-0165,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00149,QT-MUM-0041,QL-00177,VAR-0399,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00150,QT-MUM-0041,QL-00178,VAR-0652,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00151,QT-MUM-0041,QL-00179,VAR-0006,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00152,QT-MUM-0042,QL-00180,VAR-0380,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00153,QT-MUM-0042,QL-00181,VAR-0082,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00154,QT-MUM-0042,QL-00182,VAR-0624,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00155,QT-MUM-0043,QL-00184,VAR-0612,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00156,QT-MUM-0043,QL-00185,VAR-0059,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00157,QT-MUM-0043,QL-00186,VAR-0180,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00158,QT-MUM-0043,QL-00187,VAR-0507,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00159,QT-MUM-0043,QL-00188,VAR-0450,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00160,QT-MUM-0044,QL-00189,VAR-0529,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00161,QT-MUM-0044,QL-00190,VAR-0238,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00162,QT-MUM-0044,QL-00191,VAR-0630,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00163,QT-MUM-0044,QL-00192,VAR-0174,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00164,QT-MUM-0044,QL-00193,VAR-0037,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00165,QT-MUM-0045,QL-00195,VAR-0601,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00166,QT-MUM-0045,QL-00196,VAR-0206,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00167,QT-MUM-0045,QL-00197,VAR-0531,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00168,QT-MUM-0045,QL-00198,VAR-0016,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00169,QT-MUM-0046,QL-00200,VAR-0284,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00170,QT-MUM-0046,QL-00201,VAR-0232,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00171,QT-MUM-0046,QL-00202,VAR-0621,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00172,QT-MUM-0046,QL-00203,VAR-0200,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00173,QT-MUM-0047,QL-00204,VAR-0573,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00174,QT-MUM-0047,QL-00205,VAR-0075,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00175,QT-MUM-0047,QL-00206,VAR-0516,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00176,QT-MUM-0048,QL-00207,VAR-0257,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00177,QT-MUM-0048,QL-00208,VAR-0454,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00178,QT-MUM-0048,QL-00209,VAR-0387,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00179,QT-MUM-0048,QL-00210,VAR-0577,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00180,QT-MUM-0048,QL-00211,VAR-0496,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00181,QT-MUM-0049,QL-00214,VAR-0392,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00182,QT-MUM-0049,QL-00215,VAR-0649,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00183,QT-MUM-0049,QL-00216,VAR-0226,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00184,QT-MUM-0050,QL-00217,VAR-0549,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00185,QT-MUM-0050,QL-00218,VAR-0010,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00186,QT-MUM-0050,QL-00219,VAR-0270,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00187,QT-MUM-0050,QL-00220,VAR-0255,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00188,QT-MUM-0050,QL-00221,VAR-0295,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00189,QT-MUM-0051,QL-00222,VAR-0363,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00190,QT-MUM-0051,QL-00223,VAR-0224,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00191,QT-MUM-0051,QL-00224,VAR-0588,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00192,QT-MUM-0051,QL-00225,VAR-0276,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00193,QT-MUM-0052,QL-00227,VAR-0235,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00194,QT-MUM-0052,QL-00228,VAR-0208,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00195,QT-MUM-0052,QL-00229,VAR-0256,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00196,QT-MUM-0053,QL-00231,VAR-0505,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00197,QT-MUM-0053,QL-00232,VAR-0629,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00198,QT-MUM-0053,QL-00233,VAR-0007,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00199,QT-MUM-0054,QL-00234,VAR-0505,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00200,QT-MUM-0054,QL-00235,VAR-0589,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00201,QT-MUM-0054,QL-00236,VAR-0282,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00202,QT-MUM-0054,QL-00237,VAR-0503,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00203,QT-MUM-0055,QL-00239,VAR-0554,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00204,QT-MUM-0055,QL-00240,VAR-0034,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00205,QT-MUM-0055,QL-00241,VAR-0515,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00206,QT-MUM-0055,QL-00242,VAR-0356,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00207,QT-MUM-0056,QL-00243,VAR-0324,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00208,QT-MUM-0056,QL-00244,VAR-0009,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00209,QT-MUM-0056,QL-00245,VAR-0013,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00210,QT-MUM-0056,QL-00246,VAR-0216,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00211,QT-MUM-0057,QL-00248,VAR-0270,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00212,QT-MUM-0057,QL-00249,VAR-0243,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00213,QT-MUM-0057,QL-00250,VAR-0276,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00214,QT-MUM-0057,QL-00251,VAR-0483,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00215,QT-MUM-0057,QL-00252,VAR-0628,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00216,QT-MUM-0058,QL-00254,VAR-0462,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00217,QT-MUM-0058,QL-00255,VAR-0185,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00218,QT-MUM-0058,QL-00256,VAR-0586,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00219,QT-MUM-0058,QL-00257,VAR-0135,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00220,QT-MUM-0059,QL-00258,VAR-0443,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00221,QT-MUM-0059,QL-00259,VAR-0391,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00222,QT-MUM-0059,QL-00260,VAR-0201,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00223,QT-MUM-0059,QL-00261,VAR-0150,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
