invoice_line_id,invoice_id,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type
INVL-00011,INV-BILL-0003,SERVICE,,SRV-001,,Enterprise Server & High-Density Rack Installation,20,8500.00,5.00,8500.00,18.0,29070.00,190570.00,ONE_TIME
INVL-00012,INV-BILL-0004,PRODUCT,VAR-0001,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro,50,82000.00,9.00,369000.00,18.0,671580.00,4402580.00,ONE_TIME
INVL-00013,INV-BILL-0004,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,50,1400.00,10.00,7000.00,18.0,11340.00,74340.00,ONE_TIME
INVL-00014,INV-BILL-0004,SUBSCRIPTION,,,SUB-007,Cloud Endpoint Mobility Management (MDM) Enterprise Seat (Annual),50,2600.00,0.00,0.00,18.0,23400.00,153400.00,RECURRING
INVL-00015,INV-BILL-0005,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium (Mumbai DC MUM-DC-01 Allocation),12,129900.00,6.00,93528.00,18.0,263748.96,1729020.96,ONE_TIME
INVL-00016,INV-BILL-0005,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium (Navi Mumbai NAVI-MUM-DC-01 Split),8,129900.00,6.00,62352.00,18.0,175832.64,1152680.64,ONE_TIME
INVL-00017,INV-BILL-0005,SUBSCRIPTION,,,SUB-008,Executive VIP Concierge Mobility Protection (Annual),20,5400.00,0.00,0.00,18.0,19440.00,127440.00,RECURRING
INVL-00018,INV-BILL-0006,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Mumbai Fulfillment),4,504000.00,10.00,201600.00,18.0,326592.00,2140992.00,ONE_TIME
INVL-00019,INV-BILL-0006,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Bangalore Hub Fulfillment),3,504000.00,10.00,151200.00,18.0,244944.00,1605744.00,ONE_TIME
INVL-00020,INV-BILL-0006,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Delhi Hub Fulfillment),3,504000.00,10.00,151200.00,18.0,244944.00,1605744.00,ONE_TIME
INVL-00021,INV-BILL-0006,SERVICE,,SRV-001,,Enterprise Server & High-Density Rack Installation,10,8500.00,5.00,4250.00,18.0,14535.00,95285.00,ONE_TIME
INVL-00022,INV-BILL-0007,PRODUCT,VAR-0391,,,Dell Latitude 7340 13.3-inch Executive Lightweight / 32GB DDR5 / 1TB NVMe / Win 11 Pro,5,137860.00,10.00,68930.00,18.0,111666.60,732036.60,ONE_TIME
INVL-00023,INV-BILL-0007,PRODUCT,VAR-0405,,,ASUS ExpertBook B5 Flip 14-inch Convertible / 32GB DDR5 / 1TB NVMe / Win 11 Pro,5,128100.00,3.00,19215.00,18.0,111831.30,733116.30,ONE_TIME
INVL-00024,INV-BILL-0007,PRODUCT,VAR-0032,,,Core i7-1355U / 32GB / 1TB SSD / 2.8K OLED,40,158000.00,7.50,474000.00,18.0,1052280.00,6898280.00,ONE_TIME
INVL-00025,INV-BILL-0007,PRODUCT,VAR-0486,,,Dell PowerEdge R450 1U Dual-Socket Dense Compute / 256GB ECC / 8x 1.92TB Enterprise SAS SSD / Dual 1400W,60,339300.00,10.00,2035800.00,18.0,3297996.00,21620196.00,ONE_TIME
INVL-00026,INV-BILL-0008,PRODUCT,VAR-0650,,,Eaton 5P 1500VA 1U High-Density Rackmount UPS / + Extended Battery Module (EBM) 2U Pack,2,66400.00,10.00,13280.00,18.0,21513.60,141033.60,ONE_TIME
INVL-00027,INV-BILL-0008,PRODUCT,VAR-0148,,,Lenovo ThinkSystem SR655 V3 2U High-Core AMD EPYC Single-P / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU,60,408000.00,10.00,2448000.00,18.0,3965760.00,25997760.00,ONE_TIME
INVL-00028,INV-BILL-0008,PRODUCT,VAR-0306,,,Galaxy Z Fold5 512GB / Phantom Black,5,164999.00,0.00,0.00,18.0,148499.10,973494.10,ONE_TIME
INVL-00029,INV-BILL-0008,PRODUCT,VAR-0383,,,Core i7-1365U / 32GB DDR5 / 1TB NVMe / Win 11 Pro,2,183000.00,0.00,0.00,18.0,65880.00,431880.00,ONE_TIME
INVL-00030,INV-BILL-0008,SERVICE,,SRV-037,,Intelligent Metered/Switched PDU Integration,1,4200.00,10.00,420.00,18.0,680.40,4460.40,ONE_TIME
INVL-00031,INV-BILL-0008,SUBSCRIPTION,,,SUB-013,Enterprise Desk-Side Support & SLA Helpdesk (Per User) (Monthly),1,750.00,0.00,0.00,18.0,135.00,885.00,RECURRING
INVL-00032,INV-BILL-0009,PRODUCT,VAR-0561,,,Ubiquiti UniFi U6 Pro Dual-Band Wi-Fi 6 AP / Redundant AC Power Supply & Stacking Module,5,20160.00,7.50,7560.00,18.0,16783.20,110023.20,ONE_TIME
INVL-00033,INV-BILL-0009,PRODUCT,VAR-0088,,,Dell OptiPlex 3000 Thin Client Dual 4K / 16GB RAM / 512GB NVMe / Win 11 Pro,40,39000.00,10.00,156000.00,18.0,252720.00,1656720.00,ONE_TIME
INVL-00034,INV-BILL-0009,PRODUCT,VAR-0313,,,Edge 50 Pro 256GB / Black Beauty,5,37999.00,3.00,5699.85,18.0,33173.13,217468.28,ONE_TIME
INVL-00035,INV-BILL-0009,PRODUCT,VAR-0216,,,Aruba 10G SFP+ LC SR 300m MMF Transceiver (Pack of 4) / 19-inch Rackmount / Redundant Power Ready,5,33600.00,3.00,5040.00,18.0,29332.80,192292.80,ONE_TIME
INVL-00036,INV-BILL-0009,PRODUCT,VAR-0353,,,Dell WD22TB4 Thunderbolt 4 Modular Dual 4K 180W Dock / Commercial Retail Pack,25,27000.00,5.00,33750.00,18.0,115425.00,756675.00,ONE_TIME
INVL-00037,INV-BILL-0010,PRODUCT,VAR-0118,,,ASUS ProArt Station PD5 Professional Compute Rig / 64GB ECC RAM / 1TB NVMe / NVIDIA Quadro/RTX,60,174000.00,0.00,0.00,18.0,1879200.00,12319200.00,ONE_TIME
INVL-00038,INV-BILL-0010,PRODUCT,VAR-0186,,,Cisco Catalyst 9200L 24-Port Gigabit PoE+ 4x10G Switch / 19-inch Rackmount / Redundant Power Ready,60,150000.00,10.00,900000.00,18.0,1458000.00,9558000.00,ONE_TIME
INVL-00039,INV-BILL-0010,PRODUCT,VAR-0581,,,Fortinet FortiGate 200F High-Throughput Perimeter Firewall / + 1-Year Enterprise Unified Threat Protection Suite,20,433000.00,12.00,1039200.00,18.0,1371744.00,8992544.00,ONE_TIME
INVL-00040,INV-BILL-0011,PRODUCT,VAR-0075,,,HP EliteDesk 800 G9 Desktop Mini PC / 16GB RAM / 512GB NVMe / Win 11 Pro,5,70000.00,12.00,42000.00,18.0,55440.00,363440.00,ONE_TIME
INVL-00041,INV-BILL-0011,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium,25,129900.00,7.50,243562.50,18.0,540708.75,3544646.25,ONE_TIME
INVL-00042,INV-BILL-0011,PRODUCT,VAR-0069,,,Lenovo ThinkCentre M70q Gen 4 Tiny PC / 16GB RAM / 512GB NVMe / Win 11 Pro,10,55000.00,5.00,27500.00,18.0,94050.00,616550.00,ONE_TIME
INVL-00043,INV-BILL-0011,PRODUCT,VAR-0257,,,LG 34WN80C-B 34-inch 21:9 Curved Ultrawide USB-C Display / Factory Calibrated / Tilt-Swivel-Pivot,5,50400.00,12.00,30240.00,18.0,39916.80,261676.80,ONE_TIME
INVL-00044,INV-BILL-0011,PRODUCT,VAR-0101,,,Dell Precision 7920 Dual Xeon Scalable Compute Workstation / 64GB ECC RAM / 1TB NVMe / NVIDIA Quadro/RTX,40,336000.00,3.00,403200.00,18.0,2346624.00,15383424.00,ONE_TIME
INVL-00045,INV-BILL-0011,SERVICE,,SRV-007,,Structured Cat6A 24-Port Patch Panel Termination,1,7200.00,5.00,360.00,18.0,1231.20,8071.20,ONE_TIME
INVL-00046,INV-BILL-0012,PRODUCT,VAR-0072,,,Lenovo ThinkCentre Neo 50s Gen 4 SFF / 16GB RAM / 512GB NVMe / Win 11 Pro,10,50000.00,10.00,50000.00,18.0,81000.00,531000.00,ONE_TIME
INVL-00047,INV-BILL-0012,PRODUCT,VAR-0199,,,Aruba CX 6300M 48-Port Smart Rate 10G PoE Switch / 19-inch Rackmount / Redundant Power Ready,40,468000.00,5.00,936000.00,18.0,3201120.00,20985120.00,ONE_TIME
INVL-00048,INV-BILL-0012,PRODUCT,VAR-0326,,,Samsung Galaxy Tab S9+ 12.4-inch AMOLED 256GB with S Pen / Stylus Support / Enterprise Security,40,90999.00,10.00,363996.00,18.0,589673.52,3865637.52,ONE_TIME
INVL-00049,INV-BILL-0012,PRODUCT,VAR-0498,,,HPE ProLiant ML350 Gen11 4U Tower Enterprise Expandable / 256GB ECC / 8x 1.92TB Enterprise SAS SSD / Dual 1400W,5,504600.00,10.00,252300.00,18.0,408726.00,2679426.00,ONE_TIME
INVL-00050,INV-BILL-0012,PRODUCT,VAR-0462,,,Lenovo ThinkStation P7 Single-Socket Intel Xeon W-3400 / 128GB ECC / 2TB NVMe Gen5 / Dual GPU Ready,25,469800.00,5.00,587250.00,18.0,2008395.00,13166145.00,ONE_TIME
INVL-00051,INV-BILL-0012,SUBSCRIPTION,,,SUB-011,Managed Immutable Cloud Backup & Ransomware Vault (1TB) (Monthly),1,2800.00,0.00,0.00,18.0,504.00,3304.00,RECURRING
INVL-00052,INV-BILL-0013,PRODUCT,VAR-0173,,,Synology RackStation RS3621xs+ 12-Bay High-IOPS / Dual Controller / 10G/25G iSCSI & 32Gb FC,60,354000.00,3.00,637200.00,18.0,3708504.00,24311304.00,ONE_TIME
INVL-00053,INV-BILL-0013,PRODUCT,VAR-0005,,,Core i7-1365U / 32GB / 1TB SSD / Win 11 Pro,40,140000.00,12.00,672000.00,18.0,887040.00,5815040.00,ONE_TIME
INVL-00054,INV-BILL-0013,PRODUCT,VAR-0321,,,Apple iPad Air 11-inch M2 Chip 128GB Liquid Retina / Stylus Support / Enterprise Security,40,59900.00,7.50,179700.00,18.0,398934.00,2615234.00,ONE_TIME
INVL-00055,INV-BILL-0013,PRODUCT,VAR-0253,,,Dell UltraSharp U3824DW 37.5-inch WQHD+ Financial Ultrawide / Factory Calibrated / Tilt-Swivel-Pivot,10,117600.00,5.00,58800.00,18.0,201096.00,1318296.00,ONE_TIME
INVL-00056,INV-BILL-0014,PRODUCT,VAR-0340,,,Epson WorkForce Pro WF-C579R Replaceable Ink Pack MFP / Duplex Network / Secure Pull Print,20,64800.00,5.00,64800.00,18.0,221616.00,1452816.00,ONE_TIME
INVL-00057,INV-BILL-0014,PRODUCT,VAR-0492,,,Dell PowerEdge R960 4U 4-Socket Mission-Critical DB / 256GB ECC / 8x 1.92TB Enterprise SAS SSD / Dual 1400W,60,1705200.00,5.00,5115600.00,18.0,17495352.00,114691752.00,ONE_TIME
INVL-00058,INV-BILL-0014,PRODUCT,VAR-0474,,,Dell Precision 3260 Compact Financial Algo Node / 128GB ECC / 2TB NVMe Gen5 / Dual GPU Ready,20,126900.00,10.00,253800.00,18.0,411156.00,2695356.00,ONE_TIME
INVL-00059,INV-BILL-0014,SERVICE,,SRV-007,,Structured Cat6A 24-Port Patch Panel Termination,1,7200.00,0.00,0.00,18.0,1296.00,8496.00,ONE_TIME
INVL-00060,INV-BILL-0015,PRODUCT,VAR-0622,,,Lenovo ThinkVision P34w-20 34.1-inch WQHD Curved Display / + Heavy-Duty Gas-Spring Ergonomic Desk Mount,5,74100.00,5.00,18525.00,18.0,63355.50,415330.50,ONE_TIME
INVL-00061,INV-BILL-0015,PRODUCT,VAR-0084,,,ASUS ExpertCenter D7 SFF Compact Business / 16GB RAM / 512GB NVMe / Win 11 Pro,40,53000.00,12.00,254400.00,18.0,335808.00,2201408.00,ONE_TIME
INVL-00062,INV-BILL-0015,PRODUCT,VAR-0288,,,Vertiv Liebert GXT5 1000VA 2U Online Double-Conversion / Sealed Lead-Acid Battery / LCD Display,2,46800.00,12.00,11232.00,18.0,14826.24,97194.24,ONE_TIME
INVL-00063,INV-BILL-0015,PRODUCT,VAR-0144,,,HPE ProLiant DL560 Gen11 2U 4-Socket High-Density / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU,2,936000.00,0.00,0.00,18.0,336960.00,2208960.00,ONE_TIME
INVL-00064,INV-BILL-0015,PRODUCT,VAR-0552,,,Aruba CX 6200F 48G Class 4 PoE 4SFP+ 740W Switch / Redundant AC Power Supply & Stacking Module,60,256800.00,10.00,1540800.00,18.0,2496096.00,16363296.00,ONE_TIME
INVL-00065,INV-BILL-0016,PRODUCT,VAR-0032,,,Core i7-1355U / 32GB / 1TB SSD / 2.8K OLED,5,158000.00,0.00,0.00,18.0,142200.00,932200.00,ONE_TIME
INVL-00066,INV-BILL-0016,PRODUCT,VAR-0596,,,Check Point Quantum Spark 1800 10GbE Security Gateway / + 1-Year Enterprise Unified Threat Protection Suite,25,277000.00,5.00,346250.00,18.0,1184175.00,7762925.00,ONE_TIME
INVL-00067,INV-BILL-0016,PRODUCT,VAR-0593,,,Sophos XGS 3100 Datacenter Protection Appliance / + 1-Year Enterprise Unified Threat Protection Suite,25,481000.00,10.00,1202500.00,18.0,1948050.00,12770550.00,ONE_TIME
INVL-00068,INV-BILL-0016,PRODUCT,VAR-0415,,,Dell Precision 3580 Affordable Mobile CAD Workstation / 32GB DDR5 / 1TB NVMe / Win 11 Pro,20,143960.00,12.00,345504.00,18.0,456065.28,2989761.28,ONE_TIME
INVL-00069,INV-BILL-0016,PRODUCT,VAR-0605,,,Dell UltraSharp U2723QE 27-inch 4K USB-C Hub Monitor / + Heavy-Duty Gas-Spring Ergonomic Desk Mount,60,62100.00,3.00,111780.00,18.0,650559.60,4264779.60,ONE_TIME
INVL-00070,INV-BILL-0016,SUBSCRIPTION,,,SUB-012,Enterprise Datacenter Immutable Cloud Backup (10TB Pool) (Monthly),1,22000.00,0.00,0.00,18.0,3960.00,25960.00,RECURRING
INVL-00071,INV-BILL-0017,PRODUCT,VAR-0229,,,Palo Alto Networks PA-440 Branch Security Appliance / Hardware Appliance / Base Bundle,20,174000.00,10.00,348000.00,18.0,563760.00,3695760.00,ONE_TIME
INVL-00072,INV-BILL-0017,PRODUCT,VAR-0604,,,Dell UltraSharp U2724D 27-inch QHD 120Hz IPS Black / + Heavy-Duty Gas-Spring Ergonomic Desk Mount,25,41700.00,0.00,0.00,18.0,187650.00,1230150.00,ONE_TIME
INVL-00073,INV-BILL-0017,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium,20,129900.00,5.00,129900.00,18.0,444258.00,2912358.00,ONE_TIME
INVL-00074,INV-BILL-0017,PRODUCT,VAR-0138,,,HPE ProLiant DL20 Gen11 1U Short-Depth Edge Server / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU,25,142000.00,0.00,0.00,18.0,639000.00,4189000.00,ONE_TIME
INVL-00075,INV-BILL-0017,SERVICE,,SRV-016,,Corporate Desktop & Micro-PC Desk-Side Rollout,1,1100.00,10.00,110.00,18.0,178.20,1168.20,ONE_TIME
INVL-00076,INV-BILL-0018,PRODUCT,VAR-0170,,,NetApp FAS2820 Hybrid Cloud Storage Architecture / Dual Controller / 10G/25G iSCSI & 32Gb FC,5,1068000.00,10.00,534000.00,18.0,865080.00,5671080.00,ONE_TIME
INVL-00077,INV-BILL-0018,PRODUCT,VAR-0527,,,Synology RackStation RS2423+ 12-Bay 2U Storage / 128TB Raw / 32Gb Fibre Channel SAN Gateway,25,277200.00,12.00,831600.00,18.0,1097712.00,7196112.00,ONE_TIME
INVL-00078,INV-BILL-0018,PRODUCT,VAR-0144,,,HPE ProLiant DL560 Gen11 2U 4-Socket High-Density / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU,60,936000.00,3.00,1684800.00,18.0,9805536.00,64280736.00,ONE_TIME
INVL-00079,INV-BILL-0018,PRODUCT,VAR-0457,,,Dell Precision 3460 Small Form Factor Trading Workstation / 128GB ECC / 2TB NVMe Gen5 / Dual GPU Ready,40,143100.00,12.00,686880.00,18.0,906681.60,5943801.60,ONE_TIME
INVL-00080,INV-BILL-0018,PRODUCT,VAR-0164,,,Dell PowerVault ME5024 2U 24-Bay SAS/FC Storage / Dual Controller / 10G/25G iSCSI & 32Gb FC,20,624000.00,5.00,624000.00,18.0,2134080.00,13990080.00,ONE_TIME
INVL-00081,INV-BILL-0019,PRODUCT,VAR-0225,,,Fortinet FortiGate 100F Campus Core NGFW 10G SFP+ / Hardware Appliance / Base Bundle,2,234000.00,5.00,23400.00,18.0,80028.00,524628.00,ONE_TIME
INVL-00082,INV-BILL-0019,PRODUCT,VAR-0500,,,Lenovo ThinkSystem SR250 V2 1U Compact Rack Server / 256GB ECC / 8x 1.92TB Enterprise SAS SSD / Dual 1400W,10,195750.00,3.00,58725.00,18.0,341779.50,2240554.50,ONE_TIME
INVL-00083,INV-BILL-0019,PRODUCT,VAR-0238,,,Sophos XGS 3100 Datacenter Protection Appliance / Hardware Appliance / Base Bundle,2,456000.00,12.00,109440.00,18.0,144460.80,947020.80,ONE_TIME
INVL-00084,INV-BILL-0020,PRODUCT,VAR-0531,,,Synology DiskStation DS3622xs+ 12-Bay Enterprise Tower / 128TB Raw / 32Gb Fibre Channel SAN Gateway,20,394800.00,7.50,592200.00,18.0,1314684.00,8618484.00,ONE_TIME
INVL-00085,INV-BILL-0020,PRODUCT,VAR-0370,,,Targus CityLite Pro 15.6 Security Corporate Backpack / Commercial Retail Pack,2,4320.00,0.00,0.00,18.0,1555.20,10195.20,ONE_TIME
INVL-00086,INV-BILL-0020,PRODUCT,VAR-0398,,,Lenovo ThinkPad Z13 Gen 2 Sustainable Bronze / 32GB DDR5 / 1TB NVMe / Win 11 Pro,40,183000.00,5.00,366000.00,18.0,1251720.00,8205720.00,ONE_TIME
INVL-00087,INV-BILL-0020,SERVICE,,SRV-007,,Structured Cat6A 24-Port Patch Panel Termination,1,7200.00,10.00,720.00,18.0,1166.40,7646.40,ONE_TIME
INVL-00088,INV-BILL-0020,SUBSCRIPTION,,,SUB-017,Managed Print Services & Automated Toner Replenishment (Monthly),1,3500.00,0.00,0.00,18.0,630.00,4130.00,RECURRING
INVL-00089,INV-BILL-0021,PRODUCT,VAR-0281,,,APC Smart-UPS On-Line SRT 5000VA 230V 3U Enterprise Core / Sealed Lead-Acid Battery / LCD Display,5,210000.00,7.50,78750.00,18.0,174825.00,1146075.00,ONE_TIME
INVL-00090,INV-BILL-0021,PRODUCT,VAR-0270,,,Samsung ViewFinity S8 27-inch 4K Matte Anti-Glare Display / Factory Calibrated / Tilt-Swivel-Pivot,40,43200.00,7.50,129600.00,18.0,287712.00,1886112.00,ONE_TIME
INVL-00091,INV-BILL-0021,PRODUCT,VAR-0593,,,Sophos XGS 3100 Datacenter Protection Appliance / + 1-Year Enterprise Unified Threat Protection Suite,10,481000.00,10.00,481000.00,18.0,779220.00,5108220.00,ONE_TIME
INVL-00092,INV-BILL-0021,PRODUCT,VAR-0558,,,Ubiquiti UniFi Pro 24 PoE Layer 2/3 Enterprise Switch / Redundant AC Power Supply & Stacking Module,40,60480.00,0.00,0.00,18.0,435456.00,2854656.00,ONE_TIME
INVL-00093,INV-BILL-0021,PRODUCT,VAR-0584,,,Palo Alto Networks PA-440 Branch Security Appliance / + 1-Year Enterprise Unified Threat Protection Suite,25,199000.00,5.00,248750.00,18.0,850725.00,5576975.00,ONE_TIME
INVL-00094,INV-BILL-0022,PRODUCT,VAR-0229,,,Palo Alto Networks PA-440 Branch Security Appliance / Hardware Appliance / Base Bundle,60,174000.00,5.00,522000.00,18.0,1785240.00,11703240.00,ONE_TIME
INVL-00095,INV-BILL-0022,PRODUCT,VAR-0529,,,Synology RackStation RS4021xs+ 16-Bay 3U SAN/NAS / 128TB Raw / 32Gb Fibre Channel SAN Gateway,20,739200.00,7.50,1108800.00,18.0,2461536.00,16136736.00,ONE_TIME
INVL-00096,INV-BILL-0022,PRODUCT,VAR-0416,,,Dell Precision 5680 16-inch Creator Workstation / 32GB DDR5 / 1TB NVMe / Win 11 Pro,25,307440.00,0.00,0.00,18.0,1383480.00,9069480.00,ONE_TIME
INVL-00097,INV-BILL-0022,PRODUCT,VAR-0362,,,Logitech MK370 Combo for Business Silent Wireless Set / Commercial Retail Pack,25,3360.00,3.00,2520.00,18.0,14666.40,96146.40,ONE_TIME
INVL-00098,INV-BILL-0023,PRODUCT,VAR-0170,,,NetApp FAS2820 Hybrid Cloud Storage Architecture / Dual Controller / 10G/25G iSCSI & 32Gb FC,40,1068000.00,5.00,2136000.00,18.0,7305120.00,47889120.00,ONE_TIME
INVL-00099,INV-BILL-0023,PRODUCT,VAR-0236,,,Sophos XGS 2100 1U Enterprise Rackmount Firewall / Hardware Appliance / Base Bundle,5,192000.00,3.00,28800.00,18.0,167616.00,1098816.00,ONE_TIME
INVL-00100,INV-BILL-0023,PRODUCT,VAR-0079,,,Apple Mac mini M2 8-Core CPU 10-Core GPU / 16GB RAM / 512GB NVMe / Win 11 Pro,5,59900.00,3.00,8985.00,18.0,52292.70,342807.70,ONE_TIME
INVL-00101,INV-BILL-0023,PRODUCT,VAR-0527,,,Synology RackStation RS2423+ 12-Bay 2U Storage / 128TB Raw / 32Gb Fibre Channel SAN Gateway,10,277200.00,10.00,277200.00,18.0,449064.00,2943864.00,ONE_TIME
INVL-00102,INV-BILL-0023,SERVICE,,SRV-008,,Online Double-Conversion Rackmount UPS Commissioning,1,5000.00,10.00,500.00,18.0,810.00,5310.00,ONE_TIME
INVL-00103,INV-BILL-0024,PRODUCT,VAR-0425,,,Lenovo ThinkCentre M80q Gen 4 High Security / 32GB DDR5 / 1TB NVMe / Win 11 Pro,20,79300.00,12.00,190320.00,18.0,251222.40,1646902.40,ONE_TIME
INVL-00104,INV-BILL-0024,PRODUCT,VAR-0339,,,Brother MFC-L6900DW Enterprise High-Speed All-in-One MFP / Duplex Network / Secure Pull Print,20,81600.00,7.50,122400.00,18.0,271728.00,1781328.00,ONE_TIME
INVL-00105,INV-BILL-0024,PRODUCT,VAR-0117,,,ASUS ESC700 G4 High-Performance GPU Workstation / 64GB ECC RAM / 1TB NVMe / NVIDIA Quadro/RTX,5,252000.00,10.00,126000.00,18.0,204120.00,1338120.00,ONE_TIME
INVL-00106,INV-BILL-0024,SUBSCRIPTION,,,SUB-006,Managed Firewall Security Operations (SOC) & Threat Feeds (Monthly),1,9200.00,0.00,0.00,18.0,1656.00,10856.00,RECURRING
INVL-00107,INV-BILL-0025,PRODUCT,VAR-0421,,,Dell OptiPlex 7010 Mini Tower Desktop / 32GB DDR5 / 1TB NVMe / Win 11 Pro,25,81740.00,10.00,204350.00,18.0,331047.00,2170197.00,ONE_TIME
INVL-00108,INV-BILL-0025,PRODUCT,VAR-0023,,,Core i7-1365U / 32GB / 1TB SSD / 3:2 OLED,5,192000.00,3.00,28800.00,18.0,167616.00,1098816.00,ONE_TIME
INVL-00109,INV-BILL-0025,PRODUCT,VAR-0250,,,Dell UltraSharp U2723QE 27-inch 4K USB-C Hub Monitor / Factory Calibrated / Tilt-Swivel-Pivot,40,57600.00,10.00,230400.00,18.0,373248.00,2446848.00,ONE_TIME
INVL-00110,INV-BILL-0025,PRODUCT,VAR-0045,,,HP ProBook 440 G10 Commercial Fleet Notebook / 16GB RAM / 512GB SSD / Win 11 Pro,2,65000.00,10.00,13000.00,18.0,21060.00,138060.00,ONE_TIME
INVL-00111,INV-BILL-0025,PRODUCT,VAR-0131,,,Dell PowerEdge R450 1U Dual-Socket Dense Compute / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU,5,234000.00,0.00,0.00,18.0,210600.00,1380600.00,ONE_TIME
INVL-00112,INV-BILL-0026,PRODUCT,VAR-0265,,,Lenovo ThinkVision T27h-30 27-inch QHD USB-C Hub Monitor / Factory Calibrated / Tilt-Swivel-Pivot,20,31200.00,10.00,62400.00,18.0,101088.00,662688.00,ONE_TIME
INVL-00113,INV-BILL-0026,PRODUCT,VAR-0185,,,Seagate Exos X20 20TB Enterprise SAS 12Gbps 7.2K (Pack of 4) / Dual Controller / 10G/25G iSCSI & 32Gb FC,25,134000.00,12.00,402000.00,18.0,530640.00,3478640.00,ONE_TIME
INVL-00114,INV-BILL-0026,PRODUCT,VAR-0530,,,Synology DiskStation DS1821+ 8-Bay Desktop NAS / 128TB Raw / 32Gb Fibre Channel SAN Gateway,2,148400.00,12.00,35616.00,18.0,47013.12,308197.12,ONE_TIME
INVL-00115,INV-BILL-0026,SERVICE,,SRV-019,,Secure Pull-Printing & Departmental Badge Reader Setup,1,4800.00,0.00,0.00,18.0,864.00,5664.00,ONE_TIME
