customer_price_id,customer_id,price_list_id,effective_from,effective_to,status
CPL-0047,CUST-047,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0048,CUST-048,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0049,CUST-049,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0050,CUST-050,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0051,CUST-051,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0052,CUST-052,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0053,CUST-053,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0054,CUST-054,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0055,CUST-055,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0056,CUST-056,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0057,CUST-057,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0058,CUST-058,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0059,CUST-059,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0060,CUST-060,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0061,CUST-061,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0062,CUST-062,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0063,CUST-063,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0064,CUST-064,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0065,CUST-065,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0066,CUST-066,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0067,CUST-067,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0068,CUST-068,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0069,CUST-069,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0070,CUST-070,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0071,CUST-071,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0072,CUST-072,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0073,CUST-073,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0074,CUST-074,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0075,CUST-075,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0076,CUST-076,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0077,CUST-077,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0078,CUST-078,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0079,CUST-079,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0080,CUST-080,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0081,CUST-081,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0082,CUST-082,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0083,CUST-083,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0084,CUST-084,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0085,CUST-085,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0086,CUST-086,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0087,CUST-087,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0088,CUST-088,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0089,CUST-089,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0090,CUST-090,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0091,CUST-091,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0092,CUST-092,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0093,CUST-093,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0094,CUST-094,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0095,CUST-095,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0096,CUST-096,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0097,CUST-097,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0098,CUST-098,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0099,CUST-099,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0100,CUST-100,PL-STD,2026-01-01,2026-12-31,ACTIVE
