invoice_id,invoice_number,quotation_id,customer_id,invoice_date,due_date,currency,subtotal,discount_total,tax_total,grand_total,billing_type,status
INV-BILL-0018,INV-MUM-2026-0018,QT-MUM-0022,CUST-022,2026-01-11,2026-02-10,INR,86634000.00,4361280.00,14809089.60,97081809.60,ONE_TIME,ISSUED
INV-BILL-0019,INV-MUM-2026-0019,QT-MUM-0023,CUST-023,2026-01-14,2026-02-13,INR,3337500.00,191565.00,566268.30,3712203.30,ONE_TIME,ISSUED
INV-BILL-0020,INV-MUM-2026-0020,QT-MUM-0024,CUST-024,2026-01-17,2026-02-16,INR,15235340.00,958920.00,2569755.60,16846175.60,HYBRID,PAID
INV-BILL-0021,INV-MUM-2026-0021,QT-MUM-0025,CUST-025,2026-01-20,2026-02-19,INR,14982200.00,938100.00,2527938.00,16572038.00,ONE_TIME,ISSUED
INV-BILL-0022,INV-MUM-2026-0022,QT-MUM-0026,CUST-026,2026-01-23,2026-02-22,INR,32994000.00,1633320.00,5644922.40,37005602.40,ONE_TIME,PAID
INV-BILL-0023,INV-MUM-2026-0023,QT-MUM-0027,CUST-027,2026-01-26,2026-02-25,INR,46756500.00,2451485.00,7974902.70,52279917.70,ONE_TIME,PAID
INV-BILL-0024,INV-MUM-2026-0024,QT-MUM-0028,CUST-028,2026-01-01,2026-01-31,INR,4487200.00,438720.00,728726.40,4777206.40,HYBRID,ISSUED
INV-BILL-0025,INV-MUM-2026-0025,QT-MUM-0029,CUST-029,2026-01-04,2026-02-03,INR,6607500.00,476550.00,1103571.00,7234521.00,ONE_TIME,PAID
INV-BILL-0026,INV-MUM-2026-0026,QT-MUM-0030,CUST-030,2026-01-07,2026-02-06,INR,4275600.00,500016.00,679605.12,4455189.12,ONE_TIME,PAID
INV-BILL-0027,INV-MUM-2026-0027,QT-MUM-0031,CUST-031,2026-01-10,2026-02-09,INR,21754500.00,1614915.00,3625125.30,23764710.30,ONE_TIME,PAID
INV-BILL-0028,INV-MUM-2026-0028,QT-MUM-0032,CUST-032,2026-01-13,2026-02-12,INR,20936750.00,1261540.00,3541537.80,23216747.80,HYBRID,ISSUED
INV-BILL-0029,INV-MUM-2026-0029,QT-MUM-0033,CUST-033,2026-01-16,2026-02-15,INR,43863500.00,3153775.00,7327750.50,48037475.50,ONE_TIME,PAID
INV-BILL-0030,INV-MUM-2026-0030,QT-MUM-0034,CUST-034,2026-01-19,2026-02-18,INR,131961800.00,3223635.00,23172869.70,151911034.70,ONE_TIME,PAID
INV-BILL-0031,INV-MUM-2026-0031,QT-MUM-0035,CUST-035,2026-01-22,2026-02-21,INR,53707200.00,3012990.00,9124957.80,59819167.80,ONE_TIME,PAID
INV-BILL-0032,INV-MUM-2026-0032,QT-MUM-0036,CUST-036,2026-01-25,2026-02-24,INR,28871280.00,599378.00,5088942.36,33360844.36,HYBRID,PAID
INV-BILL-0033,INV-MUM-2026-0033,QT-MUM-0037,CUST-037,2026-01-28,2026-02-27,INR,96025200.00,3586444.00,16638976.08,109077732.08,ONE_TIME,PAID
INV-BILL-0034,INV-MUM-2026-0034,QT-MUM-0038,CUST-038,2026-01-03,2026-02-02,INR,19929560.00,1406396.00,3334169.52,21857333.52,ONE_TIME,PAID
INV-BILL-0035,INV-MUM-2026-0035,QT-MUM-0039,CUST-039,2026-01-06,2026-02-05,INR,8290700.00,680702.00,1369799.64,8979797.64,ONE_TIME,PAID
INV-BILL-0036,INV-MUM-2026-0036,QT-MUM-0040,CUST-040,2026-01-09,2026-02-08,INR,48730000.00,2772270.00,8272391.40,54230121.40,HYBRID,PAID
INV-BILL-0037,INV-MUM-2026-0037,QT-MUM-0041,CUST-041,2026-01-12,2026-02-11,INR,80925540.00,2273560.00,14157356.40,92809336.40,ONE_TIME,PAID
INV-BILL-0038,INV-MUM-2026-0038,QT-MUM-0042,CUST-042,2026-01-15,2026-02-14,INR,11154120.00,965021.40,1834037.75,12023136.35,ONE_TIME,PAID
INV-BILL-0039,INV-MUM-2026-0039,QT-MUM-0043,CUST-043,2026-01-18,2026-02-17,INR,62690920.00,5775796.00,10244722.32,67159846.32,ONE_TIME,PAID
INV-BILL-0040,INV-MUM-2026-0040,QT-MUM-0044,CUST-044,2026-01-21,2026-02-20,INR,32361250.00,773760.00,5685748.20,37273238.20,HYBRID,ISSUED
INV-BILL-0041,INV-MUM-2026-0041,QT-MUM-0045,CUST-045,2026-02-24,2026-03-26,INR,18727100.00,1389915.00,3120693.30,20457878.30,ONE_TIME,PAID
INV-BILL-0042,INV-MUM-2026-0042,QT-MUM-0046,CUST-046,2026-02-27,2026-03-29,INR,20097000.00,196590.00,3582073.80,23482483.80,ONE_TIME,PAID
INV-BILL-0043,INV-MUM-2026-0043,QT-MUM-0047,CUST-047,2026-02-02,2026-03-04,INR,16964000.00,1678400.00,2751408.00,18037008.00,ONE_TIME,PAID
INV-BILL-0044,INV-MUM-2026-0044,QT-MUM-0048,CUST-048,2026-02-05,2026-03-07,INR,46865800.00,1719840.00,8126272.80,53272232.80,HYBRID,PAID
INV-BILL-0045,INV-MUM-2026-0045,QT-MUM-0049,CUST-049,2026-02-08,2026-03-10,INR,14932000.00,1190680.00,2473437.60,16214757.60,ONE_TIME,PAID
INV-BILL-0046,INV-MUM-2026-0046,QT-MUM-0050,CUST-050,2026-02-11,2026-03-13,INR,14503200.00,1510680.00,2338653.60,15331173.60,ONE_TIME,ISSUED
INV-BILL-0047,INV-MUM-2026-0047,QT-MUM-0051,CUST-051,2026-02-14,2026-03-16,INR,29850100.00,3065695.00,4821192.90,31605597.90,ONE_TIME,PAID
INV-BILL-0048,INV-MUM-2026-0048,QT-MUM-0052,CUST-052,2026-02-17,2026-03-19,INR,9734000.00,562320.00,1650902.40,10822582.40,HYBRID,PAID
INV-BILL-0049,INV-MUM-2026-0049,QT-MUM-0053,CUST-053,2026-02-20,2026-03-22,INR,25697800.00,2568385.00,4163294.70,27292709.70,ONE_TIME,PAID
INV-BILL-0050,INV-MUM-2026-0050,QT-MUM-0054,CUST-054,2026-02-23,2026-03-25,INR,7075900.00,391095.00,1203264.90,7888069.90,ONE_TIME,PAID
INV-BILL-0051,INV-MUM-2026-0051,QT-MUM-0055,CUST-055,2026-02-26,2026-03-28,INR,32916000.00,1553040.00,5645332.80,37008292.80,ONE_TIME,ISSUED
INV-BILL-0052,INV-MUM-2026-0052,QT-MUM-0056,CUST-056,2026-02-01,2026-03-03,INR,6143200.00,491600.00,1017288.00,6668888.00,HYBRID,PAID
INV-BILL-0053,INV-MUM-2026-0053,QT-MUM-0057,CUST-057,2026-02-04,2026-03-06,INR,11214850.00,808332.50,1873173.15,12279690.65,ONE_TIME,PAID
INV-BILL-0054,INV-MUM-2026-0054,QT-MUM-0058,CUST-058,2026-02-07,2026-03-09,INR,52775000.00,2909000.00,8975880.00,58841880.00,ONE_TIME,ISSUED
INV-BILL-0055,INV-MUM-2026-0055,QT-MUM-0059,CUST-059,2026-02-10,2026-03-12,INR,23342900.00,2455657.50,3759703.65,24646946.15,ONE_TIME,PAID
INV-BILL-0056,INV-MUM-2026-0056,QT-MUM-0060,CUST-060,2026-02-13,2026-03-15,INR,11444898.00,1027059.76,1875210.88,12293049.12,HYBRID,PAID
