recommendation_id,source_product_id,recommended_product_id,recommendation_type,confidence_score,co_purchase_rate,margin_delta,priority,promotion_active,minimum_margin_percent,reason,status
REC-0018,PROD-0005,PROD-0241,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0019,PROD-0005,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0020,PROD-0005,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0021,PROD-0006,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0022,PROD-0006,PROD-0255,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0023,PROD-0006,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0024,PROD-0006,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0025,PROD-0007,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0026,PROD-0007,PROD-0263,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0027,PROD-0007,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0028,PROD-0007,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0029,PROD-0008,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0030,PROD-0008,PROD-0253,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0031,PROD-0008,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0032,PROD-0008,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0033,PROD-0009,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0034,PROD-0009,PROD-0266,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0035,PROD-0009,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0036,PROD-0009,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0037,PROD-0010,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0038,PROD-0010,PROD-0260,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0039,PROD-0010,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0040,PROD-0010,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0041,PROD-0011,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0042,PROD-0011,PROD-0243,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0043,PROD-0011,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0044,PROD-0011,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0045,PROD-0012,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0046,PROD-0012,PROD-0241,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0047,PROD-0012,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0048,PROD-0012,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0049,PROD-0013,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0050,PROD-0013,PROD-0252,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0051,PROD-0013,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0052,PROD-0013,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0053,PROD-0014,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0054,PROD-0014,PROD-0255,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0055,PROD-0014,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0056,PROD-0014,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0057,PROD-0015,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0058,PROD-0015,PROD-0238,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0059,PROD-0015,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0060,PROD-0015,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0061,PROD-0016,PROD-0347,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0062,PROD-0016,PROD-0249,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0063,PROD-0016,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0064,PROD-0016,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0065,PROD-0017,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0066,PROD-0017,PROD-0257,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0067,PROD-0017,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0068,PROD-0017,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0069,PROD-0018,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0070,PROD-0018,PROD-0260,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0071,PROD-0018,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0072,PROD-0018,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0073,PROD-0019,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0074,PROD-0019,PROD-0267,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0075,PROD-0019,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0076,PROD-0019,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0077,PROD-0020,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0078,PROD-0020,PROD-0263,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0079,PROD-0020,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0080,PROD-0020,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0081,PROD-0021,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0082,PROD-0021,PROD-0261,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0083,PROD-0021,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0084,PROD-0021,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0085,PROD-0022,PROD-0347,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0086,PROD-0022,PROD-0244,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0087,PROD-0022,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0088,PROD-0022,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0089,PROD-0023,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0090,PROD-0023,PROD-0255,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0091,PROD-0023,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0092,PROD-0023,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0093,PROD-0024,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0094,PROD-0024,PROD-0257,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0095,PROD-0024,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0096,PROD-0024,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0097,PROD-0025,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0098,PROD-0025,PROD-0253,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0099,PROD-0025,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0100,PROD-0025,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0101,PROD-0026,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0102,PROD-0026,PROD-0258,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0103,PROD-0026,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0104,PROD-0026,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0105,PROD-0027,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0106,PROD-0027,PROD-0269,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0107,PROD-0027,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0108,PROD-0027,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0109,PROD-0028,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0110,PROD-0028,PROD-0263,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0111,PROD-0028,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0112,PROD-0028,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0113,PROD-0029,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0114,PROD-0029,PROD-0250,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0115,PROD-0029,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0116,PROD-0029,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0117,PROD-0030,PROD-0347,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0118,PROD-0030,PROD-0252,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0119,PROD-0030,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0120,PROD-0030,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0121,PROD-0031,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0122,PROD-0031,PROD-0257,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0123,PROD-0031,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0124,PROD-0031,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0125,PROD-0032,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0126,PROD-0032,PROD-0249,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0127,PROD-0032,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0128,PROD-0032,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0129,PROD-0033,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0130,PROD-0033,PROD-0246,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0131,PROD-0033,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0132,PROD-0033,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0133,PROD-0034,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0134,PROD-0034,PROD-0249,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0135,PROD-0034,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0136,PROD-0034,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0137,PROD-0035,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0138,PROD-0035,PROD-0252,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0139,PROD-0035,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0140,PROD-0035,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0141,PROD-0036,PROD-0347,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0142,PROD-0036,PROD-0257,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0143,PROD-0036,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0144,PROD-0036,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0145,PROD-0037,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0146,PROD-0037,PROD-0254,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0147,PROD-0037,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0148,PROD-0037,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0149,PROD-0038,PROD-0342,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0150,PROD-0038,PROD-0268,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0151,PROD-0038,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0152,PROD-0038,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0153,PROD-0039,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0154,PROD-0039,PROD-0242,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0155,PROD-0039,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0156,PROD-0039,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0157,PROD-0040,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0158,PROD-0040,PROD-0245,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0159,PROD-0040,PROD-0356,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0160,PROD-0040,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0161,PROD-0041,PROD-0344,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0162,PROD-0041,PROD-0264,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0163,PROD-0041,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0164,PROD-0041,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0165,PROD-0042,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0166,PROD-0042,PROD-0250,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0167,PROD-0042,PROD-0355,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0168,PROD-0042,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0169,PROD-0043,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0170,PROD-0043,PROD-0267,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0171,PROD-0043,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0172,PROD-0043,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
