order_id,customer_po_number,quotation_id,customer_id,order_date,grand_total,currency,order_status,primary_warehouse_id,promised_delivery_date,logistics_partner
ORD-0015,PO-MUM-2026-0015,QT-MUM-0019,CUST-019,2026-01-02,21286188.74,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0016,PO-MUM-2026-0016,QT-MUM-0020,CUST-020,2026-01-05,28746175.88,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0017,PO-MUM-2026-0017,QT-MUM-0021,CUST-021,2026-01-08,12028436.20,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0018,PO-MUM-2026-0018,QT-MUM-0022,CUST-022,2026-01-11,97081809.60,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0019,PO-MUM-2026-0019,QT-MUM-0023,CUST-023,2026-01-14,3712203.30,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0020,PO-MUM-2026-0020,QT-MUM-0024,CUST-024,2026-01-17,16846175.60,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0021,PO-MUM-2026-0021,QT-MUM-0025,CUST-025,2026-01-20,16572038.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0022,PO-MUM-2026-0022,QT-MUM-0026,CUST-026,2026-01-23,37005602.40,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0023,PO-MUM-2026-0023,QT-MUM-0027,CUST-027,2026-01-26,52279917.70,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0024,PO-MUM-2026-0024,QT-MUM-0028,CUST-028,2026-01-01,4777206.40,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0025,PO-MUM-2026-0025,QT-MUM-0029,CUST-029,2026-01-04,7234521.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0026,PO-MUM-2026-0026,QT-MUM-0030,CUST-030,2026-01-07,4455189.12,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0027,PO-MUM-2026-0027,QT-MUM-0031,CUST-031,2026-01-10,23764710.30,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0028,PO-MUM-2026-0028,QT-MUM-0032,CUST-032,2026-01-13,23216747.80,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0029,PO-MUM-2026-0029,QT-MUM-0033,CUST-033,2026-01-16,48037475.50,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0030,PO-MUM-2026-0030,QT-MUM-0034,CUST-034,2026-01-19,151911034.70,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0031,PO-MUM-2026-0031,QT-MUM-0035,CUST-035,2026-01-22,59819167.80,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0032,PO-MUM-2026-0032,QT-MUM-0036,CUST-036,2026-01-25,33360844.36,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0033,PO-MUM-2026-0033,QT-MUM-0037,CUST-037,2026-01-28,109077732.08,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0034,PO-MUM-2026-0034,QT-MUM-0038,CUST-038,2026-01-03,21857333.52,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0035,PO-MUM-2026-0035,QT-MUM-0039,CUST-039,2026-01-06,8979797.64,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0036,PO-MUM-2026-0036,QT-MUM-0040,CUST-040,2026-01-09,54230121.40,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0037,PO-MUM-2026-0037,QT-MUM-0041,CUST-041,2026-01-12,92809336.40,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0038,PO-MUM-2026-0038,QT-MUM-0042,CUST-042,2026-01-15,12023136.35,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0039,PO-MUM-2026-0039,QT-MUM-0043,CUST-043,2026-01-18,67159846.32,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0040,PO-MUM-2026-0040,QT-MUM-0044,CUST-044,2026-01-21,37273238.20,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0041,PO-MUM-2026-0041,QT-MUM-0045,CUST-045,2026-02-24,20457878.30,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0042,PO-MUM-2026-0042,QT-MUM-0046,CUST-046,2026-02-27,23482483.80,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0043,PO-MUM-2026-0043,QT-MUM-0047,CUST-047,2026-02-02,18037008.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0044,PO-MUM-2026-0044,QT-MUM-0048,CUST-048,2026-02-05,53272232.80,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0045,PO-MUM-2026-0045,QT-MUM-0049,CUST-049,2026-02-08,16214757.60,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
