quotation_id,quotation_number,customer_id,quotation_date,valid_until,currency,subtotal,discount_total,tax_total,grand_total,status,approval_status,deal_health,created_by,notes
QT-0030,QT-2026-0030,CUST-031,2026-02-07,2026-03-09,INR,2541195.00,195619.50,422203.59,2767779.09,Confirmed,Approved,Healthy,Kavita Sharma,Commercial proposal for Saurashtra Valves & Instruments Ltd covering IT hardware procurement and SLA services.
QT-0031,QT-2026-0031,CUST-032,2026-02-10,2026-03-12,INR,7166998.00,228149.85,1248992.67,8187840.82,Expired,Not Required,At Risk,Kavita Sharma,Commercial proposal for Kutch Ceramics & Tiles Consortium covering IT hardware procurement and SLA services.
QT-0032,QT-2026-0032,CUST-033,2026-02-13,2026-03-15,INR,775950.00,61523.50,128596.77,843023.27,Draft,Not Required,Under Review,Kavita Sharma,Commercial proposal for Ahmedabad Education City Foundation covering IT hardware procurement and SLA services.
QT-0033,QT-2026-0033,CUST-034,2026-02-16,2026-03-18,INR,1430875.00,61193.75,246542.63,1616223.88,Sent,Not Required,Under Review,Kavita Sharma,Commercial proposal for Gujarat Energy Transmission Infra Corp covering IT hardware procurement and SLA services.
QT-0034,QT-2026-0034,CUST-035,2026-02-19,2026-03-21,INR,15228300.00,971940.00,2566144.80,16822504.80,Under Negotiation,Not Required,Under Review,Kavita Sharma,Commercial proposal for Vallabh Medical Diagnostic Centers covering IT hardware procurement and SLA services.
QT-0035,QT-2026-0035,CUST-036,2026-02-22,2026-03-24,INR,6514250.00,32662.50,1166685.75,7648273.25,Pending Approval,Pending Approval,Under Review,Kavita Sharma,Commercial proposal for Pinnacle Laboratories & Diagnostics covering IT hardware procurement and SLA services.
QT-0036,QT-2026-0036,CUST-037,2026-02-25,2026-03-27,INR,4288250.00,413530.00,697449.60,4572169.60,Approved,Approved,Healthy,Kavita Sharma,Commercial proposal for Trinity Retail Hypermarkets Pvt Ltd covering IT hardware procurement and SLA services.
QT-0037,QT-2026-0037,CUST-038,2026-02-28,2026-03-30,INR,5588960.00,194898.80,970931.02,6364992.22,Rejected,Not Required,Under Review,Kavita Sharma,Commercial proposal for BlueLine Shipping & Container Yards covering IT hardware procurement and SLA services.
QT-0038,QT-2026-0038,CUST-039,2026-02-03,2026-03-05,INR,11355960.00,889998.00,1883873.16,12349835.16,Confirmed,Approved,Healthy,Kavita Sharma,Commercial proposal for Vanguard Star Hospitalities Pvt Ltd covering IT hardware procurement and SLA services.
QT-0039,QT-2026-0039,CUST-040,2026-02-06,2026-03-08,INR,5958794.10,413750.29,998107.89,6543151.70,Expired,Not Required,At Risk,Kavita Sharma,Commercial proposal for Sabarmati Textiles & Weaving Mills covering IT hardware procurement and SLA services.
QT-0040,QT-2026-0040,CUST-001,2026-02-09,2026-03-11,INR,14887000.00,1494800.00,2410596.00,15802796.00,Draft,Not Required,Under Review,Kavita Sharma,Commercial proposal for Arvind Industrial Systems Pvt Ltd covering IT hardware procurement and SLA services.
QT-0041,QT-2026-0041,CUST-002,2026-02-12,2026-03-14,INR,6304000.00,275120.00,1085198.40,7114078.40,Sent,Not Required,Under Review,Kavita Sharma,Commercial proposal for Gujarat Precision Engineering Pvt Ltd covering IT hardware procurement and SLA services.
QT-0042,QT-2026-0042,CUST-003,2026-02-15,2026-03-17,INR,6681656.00,477589.68,1116731.94,7320798.26,Under Negotiation,Not Required,Under Review,Kavita Sharma,Commercial proposal for Sabarmati Logistics & Supply Chain Ltd covering IT hardware procurement and SLA services.
QT-0043,QT-2026-0043,CUST-004,2026-02-18,2026-03-20,INR,4200000.00,91775.00,739480.50,4847705.50,Pending Approval,Pending Approval,Under Review,Kavita Sharma,Commercial proposal for Western Grid Technologies Pvt Ltd covering IT hardware procurement and SLA services.
QT-0044,QT-2026-0044,CUST-005,2026-02-21,2026-03-23,INR,2982200.00,125205.00,514259.10,3371254.10,Approved,Approved,Healthy,Kavita Sharma,Commercial proposal for Torrential Health Sciences Pvt Ltd covering IT hardware procurement and SLA services.
