line_id,quotation_id,line_number,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type,fulfillment_warehouse_id,fulfillment_status
QL-00030,QT-0010,4,PRODUCT,VAR-0132,,,Fortinet FortiGate 60F Hardware with 1-Year FortiGuard Unified Threat Protection (UTP),15,72000.00,0.00,0.00,18.0,194400.00,1274400.00,ONE_TIME,WH-001,ALLOCATED
QL-00031,QT-0011,1,PRODUCT,VAR-0122,,,Cisco CBS250 24-Port GE Non-PoE / 4x 1G SFP,2,29500.00,3.00,1770.00,18.0,10301.40,67531.40,ONE_TIME,WH-001,ALLOCATED
QL-00032,QT-0011,2,PRODUCT,VAR-0155,,,Eaton 9SX 1000VA 230V Tower UPS (900W Output),15,44500.00,12.00,80100.00,18.0,105732.00,693132.00,ONE_TIME,WH-001,ALLOCATED
QL-00033,QT-0011,3,PRODUCT,VAR-0063,,,HPE ProLiant DL360 Gen11 1x Xeon Silver 4410Y / 64GB / 2x 960GB SSD,25,365000.00,7.50,684375.00,18.0,1519312.50,9959937.50,ONE_TIME,WH-001,ALLOCATED
QL-00034,QT-0012,1,PRODUCT,VAR-0057,,,Dell PowerEdge R660 2x Xeon Gold 5418Y / 128GB ECC / 4x 1.92TB SSD / Dual 10GbE,25,470000.00,10.00,1175000.00,18.0,1903500.00,12478500.00,ONE_TIME,WH-001,ALLOCATED
QL-00035,QT-0012,2,PRODUCT,VAR-0256,,,Dell PowerEdge R760xd2 2x Xeon Silver 4410Y / 256GB ECC / 8x 1.92TB SSD / Redundant PSU,2,1044000.00,12.00,250560.00,18.0,330739.20,2168179.20,ONE_TIME,WH-001,ALLOCATED
QL-00036,QT-0012,3,SERVICE,,SRV-009,,Semi-Annual Preventive Maintenance,1,9000.00,10.00,900.00,18.0,1458.00,9558.00,ONE_TIME,,PENDING
QL-00037,QT-0012,4,SUBSCRIPTION,,,SUB-004,Managed Cloud Backup BaaS - 1 TB (Monthly),1,1800.00,0.00,0.00,18.0,324.00,2124.00,RECURRING,,PENDING
QL-00038,QT-0013,1,PRODUCT,VAR-0074,,,Apple iPhone 15 512GB Green 5G Enterprise,25,104900.00,5.00,131125.00,18.0,448447.50,2939822.50,ONE_TIME,WH-001,ALLOCATED
QL-00039,QT-0013,2,PRODUCT,VAR-0150,,,APC Smart-UPS 1500VA LCD 230V Tower UPS (900W Output),5,29500.00,10.00,14750.00,18.0,23895.00,156645.00,ONE_TIME,WH-001,ALLOCATED
QL-00040,QT-0013,3,PRODUCT,VAR-0220,,,HP ZBook Power 15.6 i7 / 32GB / 1TB SSD / Win 11 Pro,15,193980.00,3.00,87291.00,18.0,508033.62,3330442.62,ONE_TIME,WH-001,ALLOCATED
QL-00041,QT-0013,4,PRODUCT,VAR-0001,,,Dell Latitude 5440 Core i5 / 16GB / 512GB SSD / Win 11 Pro,40,74500.00,12.00,357600.00,18.0,472032.00,3094432.00,ONE_TIME,WH-001,ALLOCATED
QL-00042,QT-0014,1,PRODUCT,VAR-0269,,,"Dell UltraSharp U2724D 27"" QHD 120Hz IPS Black with Premium Dual-Monitor Desk Arm Bundle",2,43400.00,10.00,8680.00,18.0,14061.60,92181.60,ONE_TIME,WH-001,ALLOCATED
QL-00043,QT-0014,2,PRODUCT,VAR-0185,,,Jabra Evolve2 40 MS Stereo USB-C Wired Headset,25,10200.00,10.00,25500.00,18.0,41310.00,270810.00,ONE_TIME,WH-001,ALLOCATED
QL-00044,QT-0015,1,PRODUCT,VAR-0284,,,Cisco Catalyst 9120AX Series Internal Antenna Wi-Fi 6 AP with Dual Redundant Power Supplies (1+1 RPS),2,70800.00,12.00,16992.00,18.0,22429.44,147037.44,ONE_TIME,WH-001,ALLOCATED
QL-00045,QT-0015,2,PRODUCT,VAR-0011,,,Lenovo ThinkPad T16 Gen 2 i5 / 16GB / 512GB / Black,15,86000.00,5.00,64500.00,18.0,220590.00,1446090.00,ONE_TIME,WH-001,ALLOCATED
QL-00046,QT-0015,3,PRODUCT,VAR-0200,,,Cisco Webex Room Bar with First Nations Navigator Touch Panel,10,345000.00,12.00,414000.00,18.0,546480.00,3582480.00,ONE_TIME,WH-001,ALLOCATED
QL-00047,QT-0015,4,PRODUCT,VAR-0241,,,Lenovo ThinkStation P3 i7 / 128GB ECC / 2TB SSD / Dual GPU Ready,2,186300.00,5.00,18630.00,18.0,63714.60,417684.60,ONE_TIME,WH-001,ALLOCATED
QL-00048,QT-0015,5,SERVICE,,SRV-002,,Hypervisor & OS Provisioning,1,14500.00,5.00,725.00,18.0,2479.50,16254.50,ONE_TIME,,PENDING
QL-00049,QT-0016,1,PRODUCT,VAR-0337,,,Logitech MX Keys S Wireless Keyboard - Graphite - Arctic White / Silver Edition,2,11995.00,10.00,2399.00,18.0,3886.38,25477.38,ONE_TIME,WH-001,ALLOCATED
QL-00050,QT-0016,2,PRODUCT,VAR-0322,,,HP LaserJet Pro MFP M428fdw (Print/Scan/Copy/Fax with Additional 550-Sheet Paper Feeder Tray,40,53500.00,5.00,107000.00,18.0,365940.00,2398940.00,ONE_TIME,WH-001,ALLOCATED
QL-00051,QT-0016,3,SUBSCRIPTION,,,SUB-003,24x7 Enterprise Infrastructure NOC Monitoring (Monthly),1,8500.00,0.00,0.00,18.0,1530.00,10030.00,RECURRING,,PENDING
QL-00052,QT-0017,1,PRODUCT,VAR-0181,,,Logitech MK540 Wireless Desktop Combo (Unifying USB Receiver),10,3995.00,12.00,4794.00,18.0,6328.08,41484.08,ONE_TIME,WH-001,ALLOCATED
QL-00053,QT-0017,2,PRODUCT,VAR-0280,,,Cisco Catalyst 9200L 24-Port PoE+ (370W) with Dual Redundant Power Supplies (1+1 RPS),5,213600.00,12.00,128160.00,18.0,169171.20,1109011.20,ONE_TIME,WH-001,ALLOCATED
QL-00054,QT-0018,1,PRODUCT,VAR-0357,,,Cisco Webex Room Bar with First Nations Navigator Touch Panel bundled with Additional Table Microphone Pod,5,373000.00,3.00,55950.00,18.0,325629.00,2134679.00,ONE_TIME,WH-001,ALLOCATED
QL-00055,QT-0018,2,PRODUCT,VAR-0246,,,Dell PowerEdge T360 Xeon E-2436 / 256GB ECC / 8x 1.92TB SSD / Redundant PSU,2,224750.00,12.00,53940.00,18.0,71200.80,466760.80,ONE_TIME,WH-001,ALLOCATED
QL-00056,QT-0018,3,PRODUCT,VAR-0324,,,HP Color LaserJet Enterprise M555dn (40 ppm Color with Additional 550-Sheet Paper Feeder Tray,15,83000.00,0.00,0.00,18.0,224100.00,1469100.00,ONE_TIME,WH-001,ALLOCATED
QL-00057,QT-0018,4,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging,1,1200.00,0.00,0.00,18.0,216.00,1416.00,ONE_TIME,,PENDING
QL-00058,QT-0019,1,PRODUCT,VAR-0103,,,Samsung Galaxy Tab Active4 Pro 6GB/128GB 5G Rugged Field Tablet,10,60999.00,5.00,30499.50,18.0,104308.29,683798.79,ONE_TIME,WH-001,ALLOCATED
QL-00059,QT-0019,2,PRODUCT,VAR-0022,,,"Apple MacBook Pro 14"" M3 Pro (11-core CPU/14-core GPU) / 18GB / 512GB / Space Black",25,199900.00,7.50,374812.50,18.0,832083.75,5454771.25,ONE_TIME,WH-001,ALLOCATED
QL-00060,QT-0020,1,PRODUCT,VAR-0243,,,Lenovo ThinkStation P7 Xeon w7-3465X / 128GB ECC / 2TB SSD / Dual GPU Ready,5,641250.00,5.00,160312.50,18.0,548268.75,3594206.25,ONE_TIME,WH-001,ALLOCATED
QL-00061,QT-0020,2,PRODUCT,VAR-0130,,,Ubiquiti UniFi 6 Pro 4x4 MIMO Ceiling AP,10,18900.00,0.00,0.00,18.0,34020.00,223020.00,ONE_TIME,WH-001,ALLOCATED
QL-00062,QT-0020,3,PRODUCT,VAR-0019,,,HP ProBook 440 G10 i5 / 16GB / 512GB SSD / Silver,40,57500.00,5.00,115000.00,18.0,393300.00,2578300.00,ONE_TIME,WH-001,ALLOCATED
QL-00063,QT-0020,4,PRODUCT,VAR-0332,,,Dell USB-C Dock WD19S with 130W AC Power Adapter - Arctic White / Silver Edition,10,19000.00,0.00,0.00,18.0,34200.00,224200.00,ONE_TIME,WH-001,ALLOCATED
QL-00064,QT-0020,5,SUBSCRIPTION,,,SUB-006,Cloud Endpoint Mobility Management (Per Seat) (Annually),1,2400.00,0.00,0.00,18.0,432.00,2832.00,RECURRING,,PENDING
QL-00065,QT-0021,1,PRODUCT,VAR-0205,,,Aruba 10G SFP+ to SFP+ 3-Meter Direct Attach Copper Cable,10,6800.00,3.00,2040.00,18.0,11872.80,77832.80,ONE_TIME,WH-001,ALLOCATED
QL-00066,QT-0021,2,PRODUCT,VAR-0226,,,HP Pro SFF 400 G9 i5 / 32GB / 1TB SSD / Win 11 Pro,15,64660.00,12.00,116388.00,18.0,153632.16,1007144.16,ONE_TIME,WH-001,ALLOCATED
QL-00067,QT-0021,3,PRODUCT,VAR-0198,,,Jabra Speak2 75 MS with Link 380 USB-A/C Adapter (32-Hour Battery),15,33500.00,5.00,25125.00,18.0,85927.50,563302.50,ONE_TIME,WH-001,ALLOCATED
QL-00068,QT-0021,4,SERVICE,,SRV-009,,Semi-Annual Preventive Maintenance,1,9000.00,5.00,450.00,18.0,1539.00,10089.00,ONE_TIME,,PENDING
QL-00069,QT-0022,1,PRODUCT,VAR-0218,,,HP ProBook 440 G10 i5 / 32GB / 1TB SSD / Win 11 Pro,15,70150.00,10.00,105225.00,18.0,170464.50,1117489.50,ONE_TIME,WH-001,ALLOCATED
QL-00070,QT-0022,2,PRODUCT,VAR-0041,,,Apple Mac Mini M2 Pro (12-core CPU/19-core GPU) / 32GB / 1TB / 10GbE,5,171900.00,10.00,85950.00,18.0,139239.00,912789.00,ONE_TIME,WH-001,ALLOCATED
QL-00071,QT-0023,1,PRODUCT,VAR-0165,,,"HP Color LaserJet Enterprise M555dn (40 ppm Color / 4.3"" Touchscreen)",10,71000.00,12.00,85200.00,18.0,112464.00,737264.00,ONE_TIME,WH-001,ALLOCATED
QL-00072,QT-0023,2,PRODUCT,VAR-0053,,,Lenovo ThinkStation P5 Xeon w5-2455X / 64GB ECC / 2TB / RTX A4500,10,260000.00,5.00,130000.00,18.0,444600.00,2914600.00,ONE_TIME,WH-001,ALLOCATED
QL-00073,QT-0023,3,PRODUCT,VAR-0041,,,Apple Mac Mini M2 Pro (12-core CPU/19-core GPU) / 32GB / 1TB / 10GbE,15,171900.00,10.00,257850.00,18.0,417717.00,2738367.00,ONE_TIME,WH-001,ALLOCATED
QL-00074,QT-0024,1,PRODUCT,VAR-0219,,,HP ZBook Firefly 14 i7 / 32GB / 1TB SSD / Win 11 Pro,10,143960.00,7.50,107970.00,18.0,239693.40,1571323.40,ONE_TIME,WH-001,ALLOCATED
QL-00075,QT-0024,2,PRODUCT,VAR-0086,,,Samsung Galaxy A55 5G 8GB/128GB Awesome Navy Knox,2,36999.00,12.00,8879.76,18.0,11721.28,76839.52,ONE_TIME,WH-001,ALLOCATED
QL-00076,QT-0024,3,PRODUCT,VAR-0354,,,Poly Studio X70 Dual-Camera 4K Video Appliance bundled with Additional Table Microphone Pod,10,548000.00,10.00,548000.00,18.0,887760.00,5819760.00,ONE_TIME,WH-001,ALLOCATED
QL-00077,QT-0024,4,PRODUCT,VAR-0228,,,HP EliteOne 800 G9 i7 / 32GB / 1TB SSD / Win 11 Pro,15,108580.00,5.00,81435.00,18.0,278507.70,1825772.70,ONE_TIME,WH-001,ALLOCATED
QL-00078,QT-0024,5,SERVICE,,SRV-011,,Storage SAN/NAS LUN Provisioning,1,16800.00,0.00,0.00,18.0,3024.00,19824.00,ONE_TIME,,PENDING
QL-00079,QT-0024,6,SUBSCRIPTION,,,SUB-002,Non-Comprehensive AMC (Labour Only) (Annually),1,22000.00,0.00,0.00,18.0,3960.00,25960.00,RECURRING,,PENDING
QL-00080,QT-0025,1,PRODUCT,VAR-0327,,,Brother HL-L6400DW (52 ppm with Additional 550-Sheet Paper Feeder Tray,40,65500.00,12.00,314400.00,18.0,415008.00,2720608.00,ONE_TIME,WH-001,ALLOCATED
QL-00081,QT-0025,2,PRODUCT,VAR-0208,,,Belkin Cat6A Shielded RJ45 Patch Cable 2-Meter Grey (10-Pack),5,3600.00,0.00,0.00,18.0,3240.00,21240.00,ONE_TIME,WH-001,ALLOCATED
QL-00082,QT-0025,3,PRODUCT,VAR-0187,,,"Dell Premier Slim Backpack 15 (Fits up to 15.6"" Notebooks)",5,4800.00,10.00,2400.00,18.0,3888.00,25488.00,ONE_TIME,WH-001,ALLOCATED
QL-00083,QT-0025,4,PRODUCT,VAR-0263,,,Samsung Galaxy Tab S9 Ultra 12GB/256GB 5G Graphite 256GB 5G Cellular Enterprise Edition,40,144998.75,7.50,434996.25,18.0,965691.67,6330645.42,ONE_TIME,WH-001,ALLOCATED
QL-00084,QT-0026,1,PRODUCT,VAR-0065,,,HPE ProLiant ML350 Gen11 2x Xeon Silver 4410Y / 64GB / 4x 2.4TB SAS,5,398000.00,12.00,238800.00,18.0,315216.00,2066416.00,ONE_TIME,WH-001,ALLOCATED
QL-00085,QT-0026,2,PRODUCT,VAR-0035,,,HP EliteOne 800 G9 i7 / 16GB / 512GB / Non-Touch FHD,10,89000.00,5.00,44500.00,18.0,152190.00,997690.00,ONE_TIME,WH-001,ALLOCATED
QL-00086,QT-0027,1,PRODUCT,VAR-0291,,,Ubiquiti UniFi 6 Pro 4x4 MIMO Ceiling AP with Dual Redundant Power Supplies (1+1 RPS),5,22680.00,12.00,13608.00,18.0,17962.56,117754.56,ONE_TIME,WH-001,ALLOCATED
QL-00087,QT-0027,2,PRODUCT,VAR-0017,,,HP EliteBook 840 G10 i7 / 32GB / 1TB SSD / Silver,15,99000.00,5.00,74250.00,18.0,253935.00,1664685.00,ONE_TIME,WH-001,ALLOCATED
QL-00088,QT-0027,3,PRODUCT,VAR-0310,,,APC Smart-UPS 2200VA 230V SmartConnect Tower (1980W Output) bundled with External Extended Run Battery Pack (EBM),10,96000.00,7.50,72000.00,18.0,159840.00,1047840.00,ONE_TIME,WH-001,ALLOCATED
QL-00089,QT-0027,4,SERVICE,,SRV-002,,Hypervisor & OS Provisioning,1,14500.00,10.00,1450.00,18.0,2349.00,15399.00,ONE_TIME,,PENDING
QL-00090,QT-0028,1,PRODUCT,VAR-0272,,,"HP E24 G4 23.8"" FHD IPS (VGA/HDMI/DP/4x USB) with Premium Dual-Monitor Desk Arm Bundle",15,18300.00,5.00,13725.00,18.0,46939.50,307714.50,ONE_TIME,WH-001,ALLOCATED
QL-00091,QT-0028,2,PRODUCT,VAR-0188,,,"HP Executive 15.6"" Backpack with RFID Shielding",40,5200.00,5.00,10400.00,18.0,35568.00,233168.00,ONE_TIME,WH-001,ALLOCATED
QL-00092,QT-0028,3,SUBSCRIPTION,,,SUB-004,Managed Cloud Backup BaaS - 1 TB (Monthly),1,1800.00,0.00,0.00,18.0,324.00,2124.00,RECURRING,,PENDING
QL-00093,QT-0029,1,PRODUCT,VAR-0014,,,Lenovo ThinkPad P16v i7 / 32GB / 1TB / RTX A2000 Ada,15,142000.00,10.00,213000.00,18.0,345060.00,2262060.00,ONE_TIME,WH-001,ALLOCATED
QL-00094,QT-0029,2,PRODUCT,VAR-0096,,,"Apple iPad Air 11"" M2 128GB Wi-Fi Space Grey",15,59900.00,10.00,89850.00,18.0,145557.00,954207.00,ONE_TIME,WH-001,ALLOCATED
QL-00095,QT-0030,1,PRODUCT,VAR-0135,,,Synology DS923+ 4-Bay NAS Diskless Enclosure,40,58500.00,7.50,175500.00,18.0,389610.00,2554110.00,ONE_TIME,WH-001,ALLOCATED
QL-00096,QT-0030,2,PRODUCT,VAR-0134,,,TP-Link Omada SG3428XMP 24-Port PoE+ (384W) / 4x 10G SFP+,5,39999.00,10.00,19999.50,18.0,32399.19,212394.69,ONE_TIME,WH-001,ALLOCATED
QL-00097,QT-0030,3,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging,1,1200.00,10.00,120.00,18.0,194.40,1274.40,ONE_TIME,,PENDING
QL-00098,QT-0031,1,PRODUCT,VAR-0103,,,Samsung Galaxy Tab Active4 Pro 6GB/128GB 5G Rugged Field Tablet,2,60999.00,7.50,9149.85,18.0,20312.67,133160.82,ONE_TIME,WH-001,ALLOCATED
QL-00099,QT-0031,2,PRODUCT,VAR-0063,,,HPE ProLiant DL360 Gen11 1x Xeon Silver 4410Y / 64GB / 2x 960GB SSD,5,365000.00,12.00,219000.00,18.0,289080.00,1895080.00,ONE_TIME,WH-001,ALLOCATED
QL-00100,QT-0031,3,PRODUCT,VAR-0070,,,Lenovo ThinkSystem ST550 V2 2x Xeon Silver 4310 / 64GB / 3x 2TB SAS,15,348000.00,0.00,0.00,18.0,939600.00,6159600.00,ONE_TIME,WH-001,ALLOCATED
QL-00101,QT-0032,1,PRODUCT,VAR-0164,,,HP Color LaserJet Enterprise MFP M480f (29 ppm Color / Duplex / HP Sure Start),2,82500.00,10.00,16500.00,18.0,26730.00,175230.00,ONE_TIME,WH-001,ALLOCATED
QL-00102,QT-0032,2,PRODUCT,VAR-0342,,,Jabra Evolve2 40 MS Stereo USB-C Wired Headset - Arctic White / Silver Edition,25,10700.00,5.00,13375.00,18.0,45742.50,299867.50,ONE_TIME,WH-001,ALLOCATED
QL-00103,QT-0032,3,PRODUCT,VAR-0178,,,Logitech MX Master 3S Wireless Mouse - Graphite,10,9495.00,3.00,2848.50,18.0,16578.27,108679.77,ONE_TIME,WH-001,ALLOCATED
QL-00104,QT-0032,4,PRODUCT,VAR-0364,,,D-Link 24-Port Cat6 1U Rackmount Patch Panel with Cable Wire Bar (5-Meter Extended Reach),40,6000.00,12.00,28800.00,18.0,38016.00,249216.00,ONE_TIME,WH-001,ALLOCATED
QL-00105,QT-0032,5,SUBSCRIPTION,,,SUB-003,24x7 Enterprise Infrastructure NOC Monitoring (Monthly),1,8500.00,0.00,0.00,18.0,1530.00,10030.00,RECURRING,,PENDING
QL-00106,QT-0033,1,PRODUCT,VAR-0261,,,"Apple iPad Pro 11"" M4 256GB Wi-Fi Space Black 256GB 5G Cellular Enterprise Edition",5,124875.00,3.00,18731.25,18.0,109015.88,714659.63,ONE_TIME,WH-001,ALLOCATED
QL-00107,QT-0033,2,PRODUCT,VAR-0115,,,"Lenovo ThinkVision T24i-30 23.8"" FHD IPS Monitor",5,13500.00,7.50,5062.50,18.0,11238.75,73676.25,ONE_TIME,WH-001,ALLOCATED
QL-00108,QT-0033,3,PRODUCT,VAR-0063,,,HPE ProLiant DL360 Gen11 1x Xeon Silver 4410Y / 64GB / 2x 960GB SSD,2,365000.00,5.00,36500.00,18.0,124830.00,818330.00,ONE_TIME,WH-001,ALLOCATED
QL-00109,QT-0033,4,SERVICE,,SRV-009,,Semi-Annual Preventive Maintenance,1,9000.00,10.00,900.00,18.0,1458.00,9558.00,ONE_TIME,,PENDING
QL-00110,QT-0034,1,PRODUCT,VAR-0240,,,HP ZCentral 4R Xeon W-2223 / 128GB ECC / 2TB SSD / Dual GPU Ready,25,283500.00,0.00,0.00,18.0,1275750.00,8363250.00,ONE_TIME,WH-001,ALLOCATED
QL-00111,QT-0034,2,PRODUCT,VAR-0283,,,Cisco CBS250 24-Port GE Non-PoE with Dual Redundant Power Supplies (1+1 RPS),2,35400.00,5.00,3540.00,18.0,12106.80,79366.80,ONE_TIME,WH-001,ALLOCATED
QL-00112,QT-0034,3,PRODUCT,VAR-0067,,,Lenovo ThinkSystem SR650 V3 2x Xeon Gold 5418Y / 128GB TruDDR5 / 4x 1.92TB SSD,15,538000.00,12.00,968400.00,18.0,1278288.00,8379888.00,ONE_TIME,WH-001,ALLOCATED
QL-00113,QT-0035,1,PRODUCT,VAR-0246,,,Dell PowerEdge T360 Xeon E-2436 / 256GB ECC / 8x 1.92TB SSD / Redundant PSU,25,224750.00,0.00,0.00,18.0,1011375.00,6630125.00,ONE_TIME,WH-001,ALLOCATED
QL-00114,QT-0035,2,PRODUCT,VAR-0270,,,"Dell UltraSharp U3223QE 31.5"" 4K USB-C Hub (90W PD with Premium Dual-Monitor Desk Arm Bundle",5,74400.00,5.00,18600.00,18.0,63612.00,417012.00,ONE_TIME,WH-001,ALLOCATED
QL-00115,QT-0035,3,PRODUCT,VAR-0211,,,APC NetShelter Server Cable Management Arm for 1U/2U Chassis,40,8400.00,0.00,0.00,18.0,60480.00,396480.00,ONE_TIME,WH-001,ALLOCATED
QL-00116,QT-0035,4,PRODUCT,VAR-0210,,,Dell ReadyRails II 1U/2U Sliding Rail Kit without Cable Management Arm,15,12500.00,7.50,14062.50,18.0,31218.75,204656.25,ONE_TIME,WH-001,ALLOCATED
QL-00117,QT-0036,1,PRODUCT,VAR-0265,,,Lenovo Tab P12 Pro 8GB/256GB Wi-Fi Storm Grey 256GB 5G Cellular Enterprise Edition,40,71248.75,10.00,284995.00,18.0,461691.90,3026646.90,ONE_TIME,WH-001,ALLOCATED
