invoice_line_id,invoice_id,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type
INVL-00013,INV-BILL-0004,PRODUCT,VAR-0023,,,MacBook Pro 16 M3 Max (14-CPU / 30-GPU / 36GB / 1TB) Space Black,10,349900.00,12.00,419880.00,18.0,554241.60,3633361.60,ONE_TIME
INVL-00014,INV-BILL-0004,SUBSCRIPTION,,,SUB-001,Comprehensive Enterprise AMC (4hr SLA) (Annually),1,48000.00,0.00,0.00,18.0,8640.00,56640.00,RECURRING
INVL-00015,INV-BILL-0005,PRODUCT,VAR-0262,,,Poly Voyager Focus 2 UC USB-C with Charging Stand,20,21500.00,7.50,32250.00,18.0,71595.00,469345.00,ONE_TIME
INVL-00016,INV-BILL-0005,PRODUCT,VAR-0050,,,HP Z4 G5 Xeon w7-2475X / 64GB ECC / 2TB / RTX 4000 Ada 20GB,20,302000.00,0.00,0.00,18.0,1087200.00,7127200.00,ONE_TIME
INVL-00017,INV-BILL-0005,PRODUCT,VAR-0111,,,Aruba AP-515 (RW) Unified Campus AP,30,43500.00,5.00,65250.00,18.0,223155.00,1462905.00,ONE_TIME
INVL-00018,INV-BILL-0005,PRODUCT,VAR-0021,,,MacBook Pro 14 M3 Pro (11-CPU / 14-GPU / 18GB / 512GB) Space Black,20,199900.00,12.00,479760.00,18.0,633283.20,4151523.20,ONE_TIME
INVL-00019,INV-BILL-0005,PRODUCT,VAR-0119,,,"Samsung PM893 1.92TB Enterprise 2.5"" SATA SSD",5,27500.00,3.00,4125.00,18.0,24007.50,157382.50,ONE_TIME
INVL-00020,INV-BILL-0005,SERVICE,,SRV-012,,Firmware & Security Compliance Audit,1,26000.00,10.00,2600.00,18.0,4212.00,27612.00,ONE_TIME
INVL-00021,INV-BILL-0006,PRODUCT,VAR-0309,,,Enterprise Operational IT Hardware Component Tier-14 (UPS) - Professional High-End Edition,50,26250.00,0.00,0.00,18.0,236250.00,1548750.00,ONE_TIME
INVL-00022,INV-BILL-0006,PRODUCT,VAR-0431,,,Enterprise Operational IT Hardware Component Tier-75 (ACC) - Professional High-End Edition,50,2250.00,10.00,11250.00,18.0,18225.00,119475.00,ONE_TIME
INVL-00023,INV-BILL-0007,PRODUCT,VAR-0141,,,"Dell U3223QE 31.5"" 4K UHD IPS Black USB-C Hub Display",50,77500.00,10.00,387500.00,18.0,627750.00,4115250.00,ONE_TIME
INVL-00024,INV-BILL-0007,PRODUCT,VAR-0429,,,Enterprise Operational IT Hardware Component Tier-74 (UPS) - Professional High-End Edition,2,26250.00,5.00,2625.00,18.0,8977.50,58852.50,ONE_TIME
INVL-00025,INV-BILL-0007,PRODUCT,VAR-0108,,,FortiGate 60F Appliance with 1-Year Unified Threat Protection (UTP) License,2,97900.00,0.00,0.00,18.0,35244.00,231044.00,ONE_TIME
INVL-00026,INV-BILL-0007,PRODUCT,VAR-0524,,,Poly Studio X30 Video Bar Appliance (Native Teams bundled with Additional Table Microphone Pod,20,196000.00,3.00,117600.00,18.0,684432.00,4486832.00,ONE_TIME
INVL-00027,INV-BILL-0008,PRODUCT,VAR-0270,,,Logitech Rally Bar Mini Video Bar Appliance Graphite,50,225000.00,7.50,843750.00,18.0,1873125.00,12279375.00,ONE_TIME
INVL-00028,INV-BILL-0008,PRODUCT,VAR-0207,,,HP Z8 Fury G5 Xeon w9-3495X / 256GB ECC / 8TB / Dual RTX 6000 Ada,10,966000.00,3.00,289800.00,18.0,1686636.00,11056836.00,ONE_TIME
INVL-00029,INV-BILL-0008,PRODUCT,VAR-0367,,,Enterprise Operational IT Hardware Component Tier-43 (STO) - Professional High-End Edition,2,23125.00,10.00,4625.00,18.0,7492.50,49117.50,ONE_TIME
INVL-00030,INV-BILL-0008,SERVICE,,SRV-008,,Enterprise Admin Systems Training,1,11000.00,0.00,0.00,18.0,1980.00,12980.00,ONE_TIME
INVL-00031,INV-BILL-0008,SUBSCRIPTION,,,SUB-008,Managed SOC Threat Hunting (Per Server Node) (Monthly),1,4200.00,0.00,0.00,18.0,756.00,4956.00,RECURRING
INVL-00032,INV-BILL-0009,PRODUCT,VAR-0241,,,FortiGate 200F Appliance with Dual Redundant Power Supplies,2,408000.00,10.00,81600.00,18.0,132192.00,866592.00,ONE_TIME
INVL-00033,INV-BILL-0009,PRODUCT,VAR-0003,,,Dell Latitude 7440 i7 / 16GB / 512GB SSD / Titan Grey,50,105000.00,7.50,393750.00,18.0,874125.00,5730375.00,ONE_TIME
INVL-00034,INV-BILL-0009,PRODUCT,VAR-0014,,,ThinkPad P1 Gen 6 i9 / 64GB / 2TB / RTX 4000 Ada 12GB,5,290000.00,0.00,0.00,18.0,261000.00,1711000.00,ONE_TIME
INVL-00035,INV-BILL-0009,PRODUCT,VAR-0092,,,iPad Pro 11 M4 512GB Wi-Fi + 5G Cellular Silver,75,129900.00,10.00,974250.00,18.0,1578285.00,10346535.00,ONE_TIME
INVL-00036,INV-BILL-0010,PRODUCT,VAR-0104,,,Aruba CX 6200F 48G PoE+ 4x SFP+ with Dual Redundant Hot-Swap PSUs,50,258000.00,3.00,387000.00,18.0,2252340.00,14765340.00,ONE_TIME
INVL-00037,INV-BILL-0010,PRODUCT,VAR-0263,,,Logitech C925e Business Webcam Full HD 1080p,20,8995.00,5.00,8995.00,18.0,30762.90,201667.90,ONE_TIME
INVL-00038,INV-BILL-0011,PRODUCT,VAR-0476,,,ThinkPad Universal USB-C Dock with 90W AC Adapter - Arctic White / Silver Edition,75,14300.00,0.00,0.00,18.0,193050.00,1265550.00,ONE_TIME
INVL-00039,INV-BILL-0011,PRODUCT,VAR-0052,,,ThinkStation P5 Xeon w7-2495X / 128GB ECC / 2TB / RTX 5000 Ada 32GB,75,372000.00,5.00,1395000.00,18.0,4770900.00,31275900.00,ONE_TIME
INVL-00040,INV-BILL-0011,PRODUCT,VAR-0103,,,Aruba CX 6200F 48G Class 4 PoE 4x SFP+ 740W Switch,10,226000.00,12.00,271200.00,18.0,357984.00,2346784.00,ONE_TIME
INVL-00041,INV-BILL-0011,PRODUCT,VAR-0179,,,HP EliteBook 640 G10 i7 / 32GB / 1TB SSD,10,86000.00,7.50,64500.00,18.0,143190.00,938690.00,ONE_TIME
INVL-00042,INV-BILL-0011,SERVICE,,SRV-012,,Firmware & Security Compliance Audit,1,26000.00,0.00,0.00,18.0,4680.00,30680.00,ONE_TIME
INVL-00043,INV-BILL-0012,PRODUCT,VAR-0047,,,Precision 7960 Xeon w9 / 128GB ECC / 4TB / Single RTX 6000 Ada 48GB,75,624000.00,3.00,1404000.00,18.0,8171280.00,53567280.00,ONE_TIME
INVL-00044,INV-BILL-0012,PRODUCT,VAR-0010,,,Lenovo ThinkPad T14 Gen 4 i7 / 32GB / 1TB SSD / Thunder Black,50,97000.00,12.00,582000.00,18.0,768240.00,5036240.00,ONE_TIME
INVL-00045,INV-BILL-0012,SUBSCRIPTION,,,SUB-003,24x7 Enterprise Infrastructure NOC Monitoring (Monthly),1,8500.00,0.00,0.00,18.0,1530.00,10030.00,RECURRING
INVL-00046,INV-BILL-0013,PRODUCT,VAR-0367,,,Enterprise Operational IT Hardware Component Tier-43 (STO) - Professional High-End Edition,10,23125.00,5.00,11562.50,18.0,39543.75,259231.25,ONE_TIME
INVL-00047,INV-BILL-0013,PRODUCT,VAR-0449,,,Enterprise Operational IT Hardware Component Tier-84 (UPS) - Professional High-End Edition,5,26250.00,0.00,0.00,18.0,23625.00,154875.00,ONE_TIME
INVL-00048,INV-BILL-0013,PRODUCT,VAR-0275,,,"Cisco 10GBASE-LR SFP+ Optical Transceiver (1310nm, SMF, LC Duplex)",20,23500.00,7.50,35250.00,18.0,78255.00,513005.00,ONE_TIME
INVL-00049,INV-BILL-0013,PRODUCT,VAR-0096,,,Galaxy Tab Active4 Pro 128GB 5G Black Enterprise Rugged,20,69000.00,5.00,69000.00,18.0,235980.00,1546980.00,ONE_TIME
INVL-00050,INV-BILL-0014,PRODUCT,VAR-0490,,,Poly Studio X50 Video Bar + Poly TC8 Touch Room Controller bundled with Additional Table Microphone Pod,50,286000.00,12.00,1716000.00,18.0,2265120.00,14849120.00,ONE_TIME
INVL-00051,INV-BILL-0014,PRODUCT,VAR-0432,,,Enterprise Operational IT Hardware Component Tier-76 (SEC) - Standard Edition,2,3200.00,3.00,192.00,18.0,1117.44,7325.44,ONE_TIME
INVL-00052,INV-BILL-0014,PRODUCT,VAR-0171,,,Cisco 10G SFP+ Twinax Passive Copper Cable 3-Meter,2,4200.00,7.50,630.00,18.0,1398.60,9168.60,ONE_TIME
INVL-00053,INV-BILL-0014,PRODUCT,VAR-0116,,,Synology DS923+ Populated with 32TB Storage (4x 8TB Enterprise HDDs),30,114000.00,7.50,256500.00,18.0,569430.00,3732930.00,ONE_TIME
INVL-00054,INV-BILL-0014,PRODUCT,VAR-0136,,,"Dell P2422H 24"" FHD 1920x1080 IPS Height-Adjustable Monitor",75,15200.00,10.00,114000.00,18.0,184680.00,1210680.00,ONE_TIME
INVL-00055,INV-BILL-0014,SERVICE,,SRV-011,,Storage SAN/NAS LUN Provisioning,1,16800.00,5.00,840.00,18.0,2872.80,18832.80,ONE_TIME
INVL-00056,INV-BILL-0015,PRODUCT,VAR-0389,,,Enterprise Operational IT Hardware Component Tier-54 (UPS) - Professional High-End Edition,75,26250.00,12.00,236250.00,18.0,311850.00,2044350.00,ONE_TIME
INVL-00057,INV-BILL-0015,PRODUCT,VAR-0368,,,Enterprise Operational IT Hardware Component Tier-44 (UPS) - Standard Edition,75,21000.00,12.00,189000.00,18.0,249480.00,1635480.00,ONE_TIME
INVL-00058,INV-BILL-0015,PRODUCT,VAR-0030,,,Acer TravelMate P6 i7 / 32GB / 1TB / OLED,5,94000.00,7.50,35250.00,18.0,78255.00,513005.00,ONE_TIME
INVL-00059,INV-BILL-0016,PRODUCT,VAR-0116,,,Synology DS923+ Populated with 32TB Storage (4x 8TB Enterprise HDDs),10,114000.00,12.00,136800.00,18.0,180576.00,1183776.00,ONE_TIME
INVL-00060,INV-BILL-0016,PRODUCT,VAR-0422,,,Enterprise Operational IT Hardware Component Tier-71 (SEC) - Standard Edition,10,3200.00,0.00,0.00,18.0,5760.00,37760.00,ONE_TIME
INVL-00061,INV-BILL-0016,PRODUCT,VAR-0452,,,Enterprise Operational IT Hardware Component Tier-86 (SEC) - Standard Edition,50,3200.00,12.00,19200.00,18.0,25344.00,166144.00,ONE_TIME
INVL-00062,INV-BILL-0016,PRODUCT,VAR-0048,,,Precision 7960 Xeon w9 / 256GB ECC / 8TB / Dual RTX 6000 Ada (96GB VRAM),30,1004000.00,12.00,3614400.00,18.0,4771008.00,31276608.00,ONE_TIME
INVL-00063,INV-BILL-0016,PRODUCT,VAR-0065,,,Apple iPhone 15 Pro 128GB Black Titanium,30,134900.00,12.00,485640.00,18.0,641044.80,4202404.80,ONE_TIME
INVL-00064,INV-BILL-0016,SUBSCRIPTION,,,SUB-004,Managed Cloud Backup BaaS - 1 TB (Monthly),1,1800.00,0.00,0.00,18.0,324.00,2124.00,RECURRING
INVL-00065,INV-BILL-0017,PRODUCT,VAR-0532,,,LC-to-LC Duplex OM4 50/125 Multimode Fiber Cable 5-Meter (Aqua) (5-Meter Extended Reach),20,3750.00,5.00,3750.00,18.0,12825.00,84075.00,ONE_TIME
INVL-00066,INV-BILL-0017,PRODUCT,VAR-0098,,,Cisco Catalyst 9200L 24-Port Full PoE+ (370W) 4x10G SFP+ Uplink Network Advantage,50,213000.00,12.00,1278000.00,18.0,1686960.00,11058960.00,ONE_TIME
INVL-00067,INV-BILL-0017,PRODUCT,VAR-0444,,,Enterprise Operational IT Hardware Component Tier-82 (MON) - Standard Edition,50,23500.00,7.50,88125.00,18.0,195637.50,1282512.50,ONE_TIME
INVL-00068,INV-BILL-0017,PRODUCT,VAR-0255,,,"BenQ PD2705U 27"" 4K UHD Factory Color-Calibrated Designer Monitor",5,49900.00,10.00,24950.00,18.0,40419.00,264969.00,ONE_TIME
INVL-00069,INV-BILL-0017,SERVICE,,SRV-010,,Dedicated L2 Field Support Engineer,1,6500.00,0.00,0.00,18.0,1170.00,7670.00,ONE_TIME
INVL-00070,INV-BILL-0018,PRODUCT,VAR-0161,,,Logitech Brio 4K Ultra HD Pro Webcam with Privacy Shutter,75,17500.00,7.50,98437.50,18.0,218531.25,1432593.75,ONE_TIME
INVL-00071,INV-BILL-0018,PRODUCT,VAR-0518,,,Kingston ValueRAM 32GB DDR5 5600MT/s Non-ECC CL46 2Rx8 1.1V SODIMM - Arctic White / Silver Edition,75,9900.00,7.50,55687.50,18.0,123626.25,810438.75,ONE_TIME
INVL-00072,INV-BILL-0019,PRODUCT,VAR-0077,,,Samsung Galaxy S24 256GB Marble Gray,5,84999.00,5.00,21249.75,18.0,72674.15,476419.40,ONE_TIME
INVL-00073,INV-BILL-0019,PRODUCT,VAR-0504,,,"HP E27 G4 27"" FHD (1920x1080) 60Hz IPS Display with Premium Dual-Monitor Desk Arm Bundle",10,23400.00,0.00,0.00,18.0,42120.00,276120.00,ONE_TIME
INVL-00074,INV-BILL-0019,PRODUCT,VAR-0329,,,Enterprise Operational IT Hardware Component Tier-24 (UPS) - Professional High-End Edition,30,26250.00,3.00,23625.00,18.0,137497.50,901372.50,ONE_TIME
INVL-00075,INV-BILL-0020,PRODUCT,VAR-0413,,,Enterprise Operational IT Hardware Component Tier-66 (SEC) - Professional High-End Edition,75,4000.00,10.00,30000.00,18.0,48600.00,318600.00,ONE_TIME
INVL-00076,INV-BILL-0020,PRODUCT,VAR-0241,,,FortiGate 200F Appliance with Dual Redundant Power Supplies,20,408000.00,0.00,0.00,18.0,1468800.00,9628800.00,ONE_TIME
INVL-00077,INV-BILL-0020,PRODUCT,VAR-0081,,,Google Pixel 8 Pro 128GB Obsidian,75,106999.00,7.50,601869.38,18.0,1336150.01,8759205.63,ONE_TIME
INVL-00078,INV-BILL-0020,PRODUCT,VAR-0471,,,HP Color LaserJet Enterprise MFP M480f Print/Copy/Scan/Fax with Additional 550-Sheet Paper Feeder Tray,20,94500.00,5.00,94500.00,18.0,323190.00,2118690.00,ONE_TIME
INVL-00079,INV-BILL-0020,PRODUCT,VAR-0455,,,Enterprise Operational IT Hardware Component Tier-87 (MON) - Professional High-End Edition,2,29375.00,7.50,4406.25,18.0,9781.88,64125.63,ONE_TIME
INVL-00080,INV-BILL-0020,SERVICE,,SRV-012,,Firmware & Security Compliance Audit,1,26000.00,10.00,2600.00,18.0,4212.00,27612.00,ONE_TIME
INVL-00081,INV-BILL-0020,SUBSCRIPTION,,,SUB-001,Comprehensive Enterprise AMC (4hr SLA) (Annually),1,48000.00,0.00,0.00,18.0,8640.00,56640.00,RECURRING
INVL-00082,INV-BILL-0021,PRODUCT,VAR-0414,,,Enterprise Operational IT Hardware Component Tier-67 (MON) - Standard Edition,2,23500.00,10.00,4700.00,18.0,7614.00,49914.00,ONE_TIME
INVL-00083,INV-BILL-0021,PRODUCT,VAR-0423,,,Enterprise Operational IT Hardware Component Tier-71 (SEC) - Professional High-End Edition,30,4000.00,0.00,0.00,18.0,21600.00,141600.00,ONE_TIME
INVL-00084,INV-BILL-0022,PRODUCT,VAR-0312,,,Enterprise Operational IT Hardware Component Tier-16 (SEC) - Standard Edition,30,3200.00,3.00,2880.00,18.0,16761.60,109881.60,ONE_TIME
INVL-00085,INV-BILL-0022,PRODUCT,VAR-0521,,,Logitech Rally Bar Mini Video Bar Appliance Graphite bundled with Additional Table Microphone Pod,50,253000.00,12.00,1518000.00,18.0,2003760.00,13135760.00,ONE_TIME
INVL-00086,INV-BILL-0023,PRODUCT,VAR-0350,,,Enterprise Operational IT Hardware Component Tier-35 (ACC) - Standard Edition,10,1800.00,10.00,1800.00,18.0,2916.00,19116.00,ONE_TIME
INVL-00087,INV-BILL-0023,PRODUCT,VAR-0373,,,Enterprise Operational IT Hardware Component Tier-46 (SEC) - Professional High-End Edition,75,4000.00,10.00,30000.00,18.0,48600.00,318600.00,ONE_TIME
INVL-00088,INV-BILL-0023,PRODUCT,VAR-0056,,,Dell PowerEdge R760 2x Xeon Gold 6448Y / 256GB ECC / 8x 1.92TB SSD / PERC H755,30,643000.00,7.50,1446750.00,18.0,3211785.00,21055035.00,ONE_TIME
INVL-00089,INV-BILL-0023,PRODUCT,VAR-0229,,,iPad Air 13 M2 256GB Wi-Fi + 5G Cellular Starlight,50,100900.00,12.00,605400.00,18.0,799128.00,5238728.00,ONE_TIME
INVL-00090,INV-BILL-0023,PRODUCT,VAR-0466,,,"Dell U3223QE 31.5"" 4K UHD IPS Black USB-C Hub Display with Premium Dual-Monitor Desk Arm Bundle",10,82000.00,12.00,98400.00,18.0,129888.00,851488.00,ONE_TIME
INVL-00091,INV-BILL-0023,SERVICE,,SRV-008,,Enterprise Admin Systems Training,1,11000.00,0.00,0.00,18.0,1980.00,12980.00,ONE_TIME
INVL-00092,INV-BILL-0024,PRODUCT,VAR-0228,,,iPad Air 13 M2 128GB Wi-Fi Space Grey,10,79900.00,5.00,39950.00,18.0,136629.00,895679.00,ONE_TIME
INVL-00093,INV-BILL-0024,PRODUCT,VAR-0003,,,Dell Latitude 7440 i7 / 16GB / 512GB SSD / Titan Grey,75,105000.00,12.00,945000.00,18.0,1247400.00,8177400.00,ONE_TIME
INVL-00094,INV-BILL-0024,SUBSCRIPTION,,,SUB-005,Enterprise Cloud Backup BaaS - 10 TB (Monthly),1,14000.00,0.00,0.00,18.0,2520.00,16520.00,RECURRING
INVL-00095,INV-BILL-0025,PRODUCT,VAR-0109,,,FortiGate 100F Appliance with Dual Internal Redundant Power Supplies,5,222000.00,12.00,133200.00,18.0,175824.00,1152624.00,ONE_TIME
INVL-00096,INV-BILL-0025,PRODUCT,VAR-0047,,,Precision 7960 Xeon w9 / 128GB ECC / 4TB / Single RTX 6000 Ada 48GB,50,624000.00,12.00,3744000.00,18.0,4942080.00,32398080.00,ONE_TIME
INVL-00097,INV-BILL-0025,PRODUCT,VAR-0169,,,Poly Studio X50 Video Bar + Poly TC8 Touch Room Controller,20,258000.00,0.00,0.00,18.0,928800.00,6088800.00,ONE_TIME
INVL-00098,INV-BILL-0025,PRODUCT,VAR-0505,,,"LG 27"" QHD (2560x1440) IPS with Heavy-Duty Ergo Desk Arm with Premium Dual-Monitor Desk Arm Bundle",10,36500.00,10.00,36500.00,18.0,59130.00,387630.00,ONE_TIME
INVL-00099,INV-BILL-0026,PRODUCT,VAR-0193,,,ASUS ExpertBook B5 Flip i7 / 32GB / 1TB Touch,5,104500.00,7.50,39187.50,18.0,86996.25,570308.75,ONE_TIME
INVL-00100,INV-BILL-0026,PRODUCT,VAR-0124,,,WD Ultrastar DC HC550 18TB 7200 RPM Enterprise SATA HDD,75,33500.00,3.00,75375.00,18.0,438682.50,2875807.50,ONE_TIME
INVL-00101,INV-BILL-0026,PRODUCT,VAR-0403,,,Enterprise Operational IT Hardware Component Tier-61 (SEC) - Professional High-End Edition,50,4000.00,5.00,10000.00,18.0,34200.00,224200.00,ONE_TIME
INVL-00102,INV-BILL-0026,SERVICE,,SRV-002,,Hypervisor & OS Provisioning,1,14500.00,5.00,725.00,18.0,2479.50,16254.50,ONE_TIME
INVL-00103,INV-BILL-0027,PRODUCT,VAR-0127,,,APC Smart-UPS 1500VA 2U Rackmount (1000 Watts) with Rail Kit,20,50000.00,12.00,120000.00,18.0,158400.00,1038400.00,ONE_TIME
INVL-00104,INV-BILL-0027,PRODUCT,VAR-0462,,,Samsung Galaxy XCover6 Pro 128GB Rugged Enterprise Edition 512GB Titanium Silver 5G Enterprise,30,62538.82,10.00,187616.46,18.0,303938.67,1992486.81,ONE_TIME
INVL-00105,INV-BILL-0028,PRODUCT,VAR-0511,,,Dell Premier Multi-Device Wireless Combo KM7321W Titan Gray - Arctic White / Silver Edition,30,7999.00,7.50,17997.75,18.0,39955.00,261927.25,ONE_TIME
INVL-00106,INV-BILL-0028,PRODUCT,VAR-0005,,,Dell Latitude 3540 i5 / 16GB / 512GB SSD / Numeric Pad,75,52000.00,10.00,390000.00,18.0,631800.00,4141800.00,ONE_TIME
INVL-00107,INV-BILL-0028,PRODUCT,VAR-0050,,,HP Z4 G5 Xeon w7-2475X / 64GB ECC / 2TB / RTX 4000 Ada 20GB,20,302000.00,10.00,604000.00,18.0,978480.00,6414480.00,ONE_TIME
INVL-00108,INV-BILL-0028,SUBSCRIPTION,,,SUB-003,24x7 Enterprise Infrastructure NOC Monitoring (Monthly),1,8500.00,0.00,0.00,18.0,1530.00,10030.00,RECURRING
INVL-00109,INV-BILL-0029,PRODUCT,VAR-0132,,,Eaton 9PX 3000W 2U Rack/Tower with Rail Kit,50,99500.00,10.00,497500.00,18.0,805950.00,5283450.00,ONE_TIME
INVL-00110,INV-BILL-0029,PRODUCT,VAR-0107,,,FortiGate 60F Appliance (Hardware Only),30,69900.00,5.00,104850.00,18.0,358587.00,2350737.00,ONE_TIME
INVL-00111,INV-BILL-0029,PRODUCT,VAR-0397,,,Enterprise Operational IT Hardware Component Tier-58 (STO) - Professional High-End Edition,30,23125.00,7.50,52031.25,18.0,115509.38,757228.13,ONE_TIME
INVL-00112,INV-BILL-0029,SERVICE,,SRV-007,,Wi-Fi Site Survey & Heatmap Tuning,1,22000.00,10.00,2200.00,18.0,3564.00,23364.00,ONE_TIME
INVL-00113,INV-BILL-0030,PRODUCT,VAR-0281,,,LC-to-LC Duplex OM4 50/125 Multimode Fiber Cable 5-Meter (Aqua),10,1950.00,7.50,1462.50,18.0,3246.75,21284.25,ONE_TIME
INVL-00114,INV-BILL-0030,PRODUCT,VAR-0408,,,Enterprise Operational IT Hardware Component Tier-64 (UPS) - Standard Edition,75,21000.00,3.00,47250.00,18.0,274995.00,1802745.00,ONE_TIME
INVL-00115,INV-BILL-0030,PRODUCT,VAR-0352,,,Enterprise Operational IT Hardware Component Tier-36 (SEC) - Standard Edition,5,3200.00,7.50,1200.00,18.0,2664.00,17464.00,ONE_TIME
INVL-00116,INV-BILL-0031,PRODUCT,VAR-0322,,,Enterprise Operational IT Hardware Component Tier-21 (SEC) - Standard Edition,30,3200.00,12.00,11520.00,18.0,15206.40,99686.40,ONE_TIME
INVL-00117,INV-BILL-0031,PRODUCT,VAR-0223,,,Samsung Galaxy S23 FE 256GB Mint,10,58999.00,12.00,70798.80,18.0,93454.42,612645.62,ONE_TIME
INVL-00118,INV-BILL-0031,PRODUCT,VAR-0206,,,HP Z8 Fury G5 Xeon w9-3475X / 128GB ECC / 4TB / RTX 6000 Ada 48GB,10,576000.00,12.00,691200.00,18.0,912384.00,5981184.00,ONE_TIME
INVL-00119,INV-BILL-0031,PRODUCT,VAR-0215,,,HPE ML350 Gen11 2x Xeon Silver 4410Y / 128GB DDR5 / 8x 1.92TB SAS SSD / Dual 1000W,5,487000.00,12.00,292200.00,18.0,385704.00,2528504.00,ONE_TIME
INVL-00120,INV-BILL-0032,PRODUCT,VAR-0516,,,Dell 65W Type-C AC Power Adapter (India 3-Pin) - Arctic White / Silver Edition,75,3700.00,5.00,13875.00,18.0,47452.50,311077.50,ONE_TIME
INVL-00121,INV-BILL-0032,PRODUCT,VAR-0331,,,Enterprise Operational IT Hardware Component Tier-25 (ACC) - Professional High-End Edition,30,2250.00,7.50,5062.50,18.0,11238.75,73676.25,ONE_TIME
INVL-00122,INV-BILL-0032,PRODUCT,VAR-0119,,,"Samsung PM893 1.92TB Enterprise 2.5"" SATA SSD",30,27500.00,10.00,82500.00,18.0,133650.00,876150.00,ONE_TIME
INVL-00123,INV-BILL-0032,SERVICE,,SRV-011,,Storage SAN/NAS LUN Provisioning,1,16800.00,10.00,1680.00,18.0,2721.60,17841.60,ONE_TIME
INVL-00124,INV-BILL-0032,SUBSCRIPTION,,,SUB-007,Enterprise Endpoint Detection & Response (Per Seat) (Annually),1,3800.00,0.00,0.00,18.0,684.00,4484.00,RECURRING
INVL-00125,INV-BILL-0033,PRODUCT,VAR-0433,,,Enterprise Operational IT Hardware Component Tier-76 (SEC) - Professional High-End Edition,20,4000.00,3.00,2400.00,18.0,13968.00,91568.00,ONE_TIME
INVL-00126,INV-BILL-0033,PRODUCT,VAR-0014,,,ThinkPad P1 Gen 6 i9 / 64GB / 2TB / RTX 4000 Ada 12GB,2,290000.00,12.00,69600.00,18.0,91872.00,602272.00,ONE_TIME
INVL-00127,INV-BILL-0033,PRODUCT,VAR-0110,,,FortiGate 100F Appliance with 1-Year Enterprise Protection (UTP + Antivirus),2,297000.00,3.00,17820.00,18.0,103712.40,679892.40,ONE_TIME
