recommendation_id,source_product_id,recommended_product_id,recommendation_type,confidence_score,co_purchase_rate,margin_delta,priority,promotion_active,minimum_margin_percent,reason,status
REC-0156,PROD-0056,PROD-0172,CROSS_SELL,0.93,0.86,22.0,2,True,35.0,Snagless 10-Gigabit certified patch cords for high-density patch panel patching,ACTIVE
REC-0157,PROD-0056,PROD-0179,ATTACHMENT,0.9,0.78,10.0,3,True,20.0,Rackmount power backup prevents network downtime and packet loss during power fluctuations,ACTIVE
REC-0158,PROD-0057,PROD-0170,ATTACHMENT,0.96,0.91,18.0,1,True,30.0,Certified SFP+ optical transceiver or DAC cable for core distribution interconnect,ACTIVE
REC-0159,PROD-0057,PROD-0100,CROSS_SELL,0.93,0.86,22.0,2,True,35.0,Snagless 10-Gigabit certified patch cords for high-density patch panel patching,ACTIVE
REC-0160,PROD-0057,PROD-0145,ATTACHMENT,0.9,0.78,10.0,3,True,20.0,Rackmount power backup prevents network downtime and packet loss during power fluctuations,ACTIVE
REC-0161,PROD-0058,PROD-0173,ATTACHMENT,0.95,0.88,12.0,1,True,22.0,Enterprise sliding rail kit engineered for heavy SAN/NAS storage chassis installations,ACTIVE
REC-0162,PROD-0058,PROD-0169,CROSS_SELL,0.91,0.83,16.0,2,True,25.0,Short-wave 16Gb/32Gb Fibre Channel optical transceivers for low-latency SAN fabric,ACTIVE
REC-0163,PROD-0059,PROD-0173,ATTACHMENT,0.95,0.88,12.0,1,True,22.0,Enterprise sliding rail kit engineered for heavy SAN/NAS storage chassis installations,ACTIVE
REC-0164,PROD-0059,PROD-0169,CROSS_SELL,0.91,0.83,16.0,2,True,25.0,Short-wave 16Gb/32Gb Fibre Channel optical transceivers for low-latency SAN fabric,ACTIVE
REC-0165,PROD-0060,PROD-0173,ATTACHMENT,0.95,0.88,12.0,1,True,22.0,Enterprise sliding rail kit engineered for heavy SAN/NAS storage chassis installations,ACTIVE
