quotation_id,quotation_number,customer_id,quotation_date,valid_until,currency,subtotal,discount_total,tax_total,grand_total,status,approval_status,deal_health,created_by,notes
QT-0011,QT-2026-0011,CUST-011,2026-01-06,2026-02-05,INR,8043300.00,507725.00,1356403.50,8891978.50,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Mysore MedTech Systems India covering enterprise IT hardware procurement and SLA services.
QT-0012,QT-2026-0012,CUST-012,2026-01-09,2026-02-08,INR,20971450.00,1138175.00,3569989.50,23403264.50,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Polaris Omnichannel Retail Tech covering enterprise IT hardware procurement and SLA services.
QT-0013,QT-2026-0013,CUST-013,2026-01-12,2026-02-11,INR,17258500.00,1449600.00,2845602.00,18654502.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Dravida Global Banking Solutions covering enterprise IT hardware procurement and SLA services.
QT-0014,QT-2026-0014,CUST-014,2026-01-15,2026-02-14,INR,13079900.00,395995.00,2283102.90,14967007.90,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for AuraRobotics Industrial Systems covering enterprise IT hardware procurement and SLA services.
QT-0015,QT-2026-0015,CUST-015,2026-01-18,2026-02-17,INR,32118500.00,1730700.00,5469804.00,35857604.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Apex Bangalore Consulting Partners covering enterprise IT hardware procurement and SLA services.
QT-0016,QT-2026-0016,CUST-016,2026-01-21,2026-02-20,INR,51658500.00,1986000.00,8941050.00,58613550.00,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for StrataLearn EdTech India Pvt Ltd covering enterprise IT hardware procurement and SLA services.
QT-0017,QT-2026-0017,CUST-017,2026-01-24,2026-02-23,INR,2212500.00,115812.50,377403.75,2474091.25,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Novax Streaming & Media Technologies covering enterprise IT hardware procurement and SLA services.
QT-0018,QT-2026-0018,CUST-018,2026-01-27,2026-02-26,INR,18891600.00,2088162.00,3024618.84,19828056.84,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Helios Genomic Therapeutics India covering enterprise IT hardware procurement and SLA services.
QT-0019,QT-2026-0019,CUST-019,2026-01-02,2026-02-01,INR,4013750.00,460500.00,639585.00,4192835.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Cubix Platform Engineering Labs covering enterprise IT hardware procurement and SLA services.
QT-0020,QT-2026-0020,CUST-020,2026-01-05,2026-02-04,INR,35500800.00,4256040.00,5624056.80,36868816.80,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Synapse VLSI Design Services Pvt Ltd covering enterprise IT hardware procurement and SLA services.
QT-0021,QT-2026-0021,CUST-021,2026-01-08,2026-02-07,INR,12156000.00,1394825.00,1937011.50,12698186.50,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Integra Cloud Telecom Solutions covering enterprise IT hardware procurement and SLA services.
QT-0022,QT-2026-0022,CUST-022,2026-01-11,2026-02-10,INR,2055000.00,154125.00,342157.50,2243032.50,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for FlexiPay India Digital Payments covering enterprise IT hardware procurement and SLA services.
QT-0023,QT-2026-0023,CUST-023,2026-01-14,2026-02-13,INR,1446495.00,44874.75,252291.65,1653911.90,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for AeroDynamics Defence Electronics Ltd covering enterprise IT hardware procurement and SLA services.
QT-0024,QT-2026-0024,CUST-024,2026-01-17,2026-02-16,INR,18507675.00,733375.63,3199373.89,20973673.26,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Optima Supply Chain Automations covering enterprise IT hardware procurement and SLA services.
QT-0025,QT-2026-0025,CUST-025,2026-01-20,2026-02-19,INR,167000.00,4700.00,29214.00,191514.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Virtus Health Informatics Pvt Ltd covering enterprise IT hardware procurement and SLA services.
QT-0026,QT-2026-0026,CUST-026,2026-01-23,2026-02-22,INR,12746000.00,1520880.00,2020521.60,13245641.60,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for CloudKinetic Software India covering enterprise IT hardware procurement and SLA services.
QT-0027,QT-2026-0027,CUST-027,2026-01-26,2026-02-25,INR,25484000.00,2182350.00,4194297.00,27495947.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Amber Electric Vehicle Tech Systems covering enterprise IT hardware procurement and SLA services.
QT-0028,QT-2026-0028,CUST-028,2026-01-01,2026-01-31,INR,8688000.00,984950.00,1386549.00,9089599.00,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Pragmatic Advisory & Tech Partners covering enterprise IT hardware procurement and SLA services.
QT-0029,QT-2026-0029,CUST-029,2026-01-04,2026-02-03,INR,37835000.00,3913700.00,6105834.00,40027134.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for EdgePulse Embedded Computing covering enterprise IT hardware procurement and SLA services.
QT-0030,QT-2026-0030,CUST-030,2026-01-07,2026-02-06,INR,3249500.00,125287.50,562358.25,3686570.75,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for ZestCommerce Logistics Platform covering enterprise IT hardware procurement and SLA services.
QT-0031,QT-2026-0031,CUST-031,2026-01-10,2026-02-09,INR,2876164.60,307616.46,462338.67,3030886.81,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Bangalore Diagnostic AI Networks covering enterprise IT hardware procurement and SLA services.
QT-0032,QT-2026-0032,CUST-032,2026-01-13,2026-02-12,INR,10188470.00,1011997.75,1651765.00,10828237.25,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Tranzact Cloud Banking Infra covering enterprise IT hardware procurement and SLA services.
QT-0033,QT-2026-0033,CUST-033,2026-01-16,2026-02-15,INR,7787750.00,656581.25,1283610.38,8414779.13,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Altair Edge Software Labs covering enterprise IT hardware procurement and SLA services.
QT-0034,QT-2026-0034,CUST-034,2026-01-19,2026-02-18,INR,1610500.00,49912.50,280905.75,1841493.25,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for PixelCraft Game Studios Bangalore covering enterprise IT hardware procurement and SLA services.
QT-0035,QT-2026-0035,CUST-035,2026-02-22,2026-03-24,INR,8880990.00,1065718.80,1406748.82,9222020.02,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Sparklink IoT Solutions Pvt Ltd covering enterprise IT hardware procurement and SLA services.
QT-0036,QT-2026-0036,CUST-036,2026-02-25,2026-03-27,INR,1190600.00,103117.50,195746.85,1283229.35,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for FinBots Robo-Advisory Labs covering enterprise IT hardware procurement and SLA services.
QT-0037,QT-2026-0037,CUST-037,2026-02-28,2026-03-30,INR,2573000.00,129390.00,439849.80,2883459.80,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for LogiRoute Route Optimization AI covering enterprise IT hardware procurement and SLA services.
QT-0038,QT-2026-0038,CUST-038,2026-02-03,2026-03-05,INR,17519000.00,1340100.00,2912202.00,19091102.00,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for BioProbe Diagnostics Bangalore covering enterprise IT hardware procurement and SLA services.
QT-0039,QT-2026-0039,CUST-039,2026-02-06,2026-03-08,INR,13880750.00,488150.00,2410668.00,15803268.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for NextGen Campus Learning Systems covering enterprise IT hardware procurement and SLA services.
QT-0040,QT-2026-0040,CUST-040,2026-02-09,2026-03-11,INR,66969300.00,3638812.50,11399487.75,74729975.25,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for ApexClean Smart Energy Tech covering enterprise IT hardware procurement and SLA services.
QT-0041,QT-2026-0041,CUST-041,2026-02-12,2026-03-14,INR,3119000.00,295270.00,508271.40,3332001.40,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for DataWeave Analytics Partners covering enterprise IT hardware procurement and SLA services.
QT-0042,QT-2026-0042,CUST-042,2026-02-15,2026-03-17,INR,7911500.00,394975.00,1352974.50,8869499.50,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Karnataka Automotive Controls LLP covering enterprise IT hardware procurement and SLA services.
QT-0043,QT-2026-0043,CUST-043,2026-02-18,2026-03-20,INR,675490.00,64468.80,109983.82,721005.02,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for BeeHive Healthcare Telematics covering enterprise IT hardware procurement and SLA services.
QT-0044,QT-2026-0044,CUST-044,2026-02-21,2026-03-23,INR,6563923.00,224459.80,1141103.38,7480566.58,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for ScaleOps Cloud Architecture LLP covering enterprise IT hardware procurement and SLA services.
QT-0045,QT-2026-0045,CUST-045,2026-02-24,2026-03-26,INR,581990.00,36449.50,98197.29,643737.79,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for PrimeLend Micro-Credit Tech covering enterprise IT hardware procurement and SLA services.
QT-0046,QT-2026-0046,CUST-046,2026-02-27,2026-03-29,INR,18814950.00,1729447.50,3075390.45,20160892.95,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for UrbanHaul Freight Intelligence covering enterprise IT hardware procurement and SLA services.
QT-0047,QT-2026-0047,CUST-047,2026-02-02,2026-03-04,INR,16335000.00,34350.00,2934117.00,19234767.00,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for CyberGuard Security Consultants covering enterprise IT hardware procurement and SLA services.
QT-0048,QT-2026-0048,CUST-048,2026-02-05,2026-03-07,INR,12344500.00,1158750.00,2013435.00,13199185.00,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Generative Vision Systems LLP covering enterprise IT hardware procurement and SLA services.
QT-0049,QT-2026-0049,CUST-049,2026-02-08,2026-03-10,INR,5540000.00,130800.00,973656.00,6382856.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Insight Diagnostics Labs covering enterprise IT hardware procurement and SLA services.
QT-0050,QT-2026-0050,CUST-050,2026-02-11,2026-03-13,INR,20676250.00,367875.00,3655507.50,23963882.50,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Zenith Silicon Microchips covering enterprise IT hardware procurement and SLA services.
QT-0051,QT-2026-0051,CUST-051,2026-02-14,2026-03-16,INR,436800.00,450.00,78543.00,514893.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for AgriGrow Data Farm Solutions covering enterprise IT hardware procurement and SLA services.
QT-0052,QT-2026-0052,CUST-052,2026-02-17,2026-03-19,INR,697800.00,39180.00,118551.60,777171.60,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Bangalore Express Delivery Network covering enterprise IT hardware procurement and SLA services.
QT-0053,QT-2026-0053,CUST-053,2026-02-20,2026-03-22,INR,17997000.00,1674000.00,2938140.00,19261140.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for StoreFront Direct D2C Tech covering enterprise IT hardware procurement and SLA services.
QT-0054,QT-2026-0054,CUST-054,2026-02-23,2026-03-25,INR,752450.00,87032.50,119775.15,785192.65,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for DevForge Systems Consultants covering enterprise IT hardware procurement and SLA services.
QT-0055,QT-2026-0055,CUST-055,2026-02-26,2026-03-28,INR,2493750.00,275625.00,399262.50,2617387.50,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for OptiMesh Wireless Engineering covering enterprise IT hardware procurement and SLA services.
QT-0056,QT-2026-0056,CUST-056,2026-02-01,2026-03-03,INR,181300.00,13200.00,30258.00,198358.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Vibrant Sound & Acoustics Tech covering enterprise IT hardware procurement and SLA services.
QT-0057,QT-2026-0057,CUST-057,2026-02-04,2026-03-06,INR,8297500.00,819700.00,1346004.00,8823804.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Bangalore Institute of Applied Science covering enterprise IT hardware procurement and SLA services.
QT-0058,QT-2026-0058,CUST-058,2026-02-07,2026-03-09,INR,25400000.00,1284000.00,4340880.00,28456880.00,Sent,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for SoftLink Web Innovations LLP covering enterprise IT hardware procurement and SLA services.
QT-0059,QT-2026-0059,CUST-059,2026-02-10,2026-03-12,INR,8320000.00,478100.00,1411542.00,9253442.00,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Karnad Bio Labs LLP covering enterprise IT hardware procurement and SLA services.
QT-0060,QT-2026-0060,CUST-060,2026-02-13,2026-03-15,INR,46398200.00,2753820.00,7855988.40,51500368.40,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for NextLevel Product Designers LLP covering enterprise IT hardware procurement and SLA services.
QT-0061,QT-2026-0061,CUST-061,2026-02-16,2026-03-18,INR,17422500.00,1474950.00,2870559.00,18818109.00,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for EchoPay Payments Integration covering enterprise IT hardware procurement and SLA services.
QT-0062,QT-2026-0062,CUST-062,2026-02-19,2026-03-21,INR,1635000.00,127250.00,271395.00,1779145.00,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Precision Motion Dynamics LLP covering enterprise IT hardware procurement and SLA services.
QT-0063,QT-2026-0063,CUST-063,2026-02-22,2026-03-24,INR,3341775.00,218265.00,562231.80,3685741.80,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Medicare Patient Records Solutions covering enterprise IT hardware procurement and SLA services.
QT-0064,QT-2026-0064,CUST-064,2026-02-25,2026-03-27,INR,940000.00,60585.00,158294.70,1037709.70,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for SmartFleet Sensor Telematics covering enterprise IT hardware procurement and SLA services.
QT-0065,QT-2026-0065,CUST-065,2026-02-28,2026-03-30,INR,16423925.00,354892.50,2892425.85,18961458.35,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for VectorByte Systems Bangalore covering enterprise IT hardware procurement and SLA services.
QT-0066,QT-2026-0066,CUST-066,2026-02-03,2026-03-05,INR,4871000.00,372125.00,809797.50,5308672.50,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Radiant Embedded Boards LLP covering enterprise IT hardware procurement and SLA services.
QT-0067,QT-2026-0067,CUST-067,2026-02-06,2026-03-08,INR,4040000.00,225150.00,686673.00,4501523.00,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Global Cast Media Production Hub covering enterprise IT hardware procurement and SLA services.
QT-0068,QT-2026-0068,CUST-068,2026-02-09,2026-03-11,INR,2921800.00,149150.00,499077.00,3271727.00,Under Negotiation,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Academy of Modern Computing covering enterprise IT hardware procurement and SLA services.
QT-0069,QT-2026-0069,CUST-069,2026-02-12,2026-03-14,INR,62427000.00,3151200.00,10669644.00,69945444.00,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for Bengaluru Merchant Advisory LLP covering enterprise IT hardware procurement and SLA services.
QT-0070,QT-2026-0070,CUST-070,2026-02-15,2026-03-17,INR,3660000.00,191000.00,624420.00,4093420.00,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for Zenith IT Infrastructure Care covering enterprise IT hardware procurement and SLA services.
QT-0071,QT-2026-0071,CUST-071,2026-02-18,2026-03-20,INR,5185000.00,358725.00,868729.50,5695004.50,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for GreenKarnataka Enviro Analytics covering enterprise IT hardware procurement and SLA services.
QT-0072,QT-2026-0072,CUST-072,2026-02-21,2026-03-23,INR,10898500.00,556620.00,1861538.40,12203418.40,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for AutoCode Automation Systems LLP covering enterprise IT hardware procurement and SLA services.
QT-0073,QT-2026-0073,CUST-073,2026-02-24,2026-03-26,INR,5888750.00,179587.50,1027649.25,6736811.75,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for DigitalPrint Enterprise Hub covering enterprise IT hardware procurement and SLA services.
QT-0074,QT-2026-0074,CUST-074,2026-02-27,2026-03-29,INR,10731500.00,1056735.00,1741457.70,11416222.70,Pending Approval,Pending Approval,Watch,Kavita Sharma,Bangalore commercial proposal for SyncroLog Warehouse Automation covering enterprise IT hardware procurement and SLA services.
QT-0075,QT-2026-0075,CUST-075,2026-02-02,2026-03-04,INR,3079500.00,304325.00,499531.50,3274706.50,Draft,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Karnataka Precision AgriSystems covering enterprise IT hardware procurement and SLA services.
QT-0076,QT-2026-0076,CUST-076,2026-02-05,2026-03-07,INR,1842450.00,137868.75,306824.62,2011405.87,Draft,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for Nuxion Embedded Systems India covering enterprise IT hardware procurement and SLA services.
QT-0077,QT-2026-0077,CUST-077,2026-02-08,2026-03-10,INR,6558675.00,708855.00,1052967.60,6902787.60,Draft,Not Required,Watch,Kavita Sharma,Bangalore commercial proposal for TrueScan Diagnostic Tele-Imaging covering enterprise IT hardware procurement and SLA services.
QT-0078,QT-2026-0078,CUST-078,2026-02-11,2026-03-13,INR,1069500.00,80575.00,178006.50,1166931.50,Expired,Not Required,At Risk,Kavita Sharma,Bangalore commercial proposal for FleetEdge Vehicle Sensors LLP covering enterprise IT hardware procurement and SLA services.
QT-0079,QT-2026-0079,CUST-079,2026-02-14,2026-03-16,INR,16623000.00,470700.00,2907414.00,19059714.00,Expired,Not Required,At Risk,Kavita Sharma,Bangalore commercial proposal for Coromandel Business Analysts Bangalore covering enterprise IT hardware procurement and SLA services.
QT-0080,QT-2026-0080,CUST-080,2026-02-17,2026-03-19,INR,148300.00,11250.00,24669.00,161719.00,Rejected,Not Required,Critical,Kavita Sharma,Bangalore commercial proposal for AppVantage Venture Studio India covering enterprise IT hardware procurement and SLA services.
