customer_price_id,customer_id,price_list_id,effective_from,effective_to,status
CPL-0047,CUST-047,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0048,CUST-048,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0049,CUST-049,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0050,CUST-050,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0051,CUST-051,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0052,CUST-052,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0053,CUST-053,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0054,CUST-054,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0055,CUST-055,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0056,CUST-056,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0057,CUST-057,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0058,CUST-058,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0059,CUST-059,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0060,CUST-060,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0061,CUST-061,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0062,CUST-062,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0063,CUST-063,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0064,CUST-064,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0065,CUST-065,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0066,CUST-066,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0067,CUST-067,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0068,CUST-068,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0069,CUST-069,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0070,CUST-070,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0071,CUST-071,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0072,CUST-072,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0073,CUST-073,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0074,CUST-074,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0075,CUST-075,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0076,CUST-076,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0077,CUST-077,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0078,CUST-078,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0079,CUST-079,PL-STD,2026-01-01,2026-12-31,ACTIVE
CPL-0080,CUST-080,PL-STD,2026-01-01,2026-12-31,ACTIVE
