negotiation_id,quotation_id,customer_id,quotation_line_id,original_discount_percent,requested_discount_percent,customer_message,status,submitted_at,resolved_at
NEG-0019,QT-0066,CUST-066,QL-00244,7.5,19.5,Client requested commercial discount adjustment to 19.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0020,QT-0066,CUST-066,QL-00245,10.0,22.0,Client requested commercial discount adjustment to 22.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0021,QT-0067,CUST-067,QL-00250,10.0,22.0,Client requested commercial discount adjustment to 22.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0022,QT-0067,CUST-067,QL-00251,7.5,17.5,Client requested commercial discount adjustment to 17.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0023,QT-0068,CUST-068,QL-00254,7.5,19.5,Client requested commercial discount adjustment to 19.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0024,QT-0068,CUST-068,QL-00255,0.0,5.0,Client requested commercial discount adjustment to 5.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0025,QT-0069,CUST-069,QL-00258,5.0,17.0,Client requested commercial discount adjustment to 17.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0026,QT-0069,CUST-069,QL-00259,7.5,15.0,Client requested commercial discount adjustment to 15.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0027,QT-0070,CUST-070,QL-00261,10.0,22.0,Client requested commercial discount adjustment to 22.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0028,QT-0070,CUST-070,QL-00262,5.0,10.0,Client requested commercial discount adjustment to 10.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0029,QT-0071,CUST-071,QL-00263,12.0,17.0,Client requested commercial discount adjustment to 17.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0030,QT-0071,CUST-071,QL-00264,0.0,7.5,Client requested commercial discount adjustment to 7.5% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
